step,reward,seed
0,2.4,3
100000,275.1,3
200000,246.4,3
300000,330.8,3
400000,321.6,3
500000,334.5,3
600000,336.1,3
700000,450.4,3
800000,549.5,3
900000,368.3,3
1000000,476.7,3
1100000,410.7,3
1200000,508.6,3
1300000,422.2,3
1400000,576.5,3
1500000,621.8,3
1600000,560.9,3
1700000,562.0,3
1800000,522.9,3
1900000,512.0,3
2000000,585.1,3
2100000,672.0,3
2200000,552.2,3
2300000,603.5,3
2400000,618.9,3
2500000,438.4,3
2600000,555.1,3
2700000,578.9,3
2800000,420.4,3
2900000,664.0,3
3000000,564.6,3
3100000,596.9,3
3200000,431.7,3
3300000,483.5,3
3400000,550.6,3
3500000,598.4,3
3600000,644.1,3
3700000,500.0,3
3800000,617.3,3
3900000,682.2,3
4000000,667.5,3
0,5.6,2
100000,150.2,2
200000,423.1,2
300000,358.9,2
400000,361.2,2
500000,446.8,2
600000,377.1,2
700000,492.5,2
800000,560.5,2
900000,476.1,2
1000000,593.6,2
1100000,420.5,2
1200000,500.2,2
1300000,548.0,2
1400000,480.9,2
1500000,470.4,2
1600000,599.1,2
1700000,707.8,2
1800000,504.5,2
1900000,484.7,2
2000000,553.0,2
2100000,550.1,2
2200000,596.8,2
2300000,502.1,2
2400000,489.2,2
2500000,439.3,2
2600000,549.2,2
2700000,535.0,2
2800000,691.8,2
2900000,519.1,2
3000000,525.6,2
3100000,564.8,2
3200000,596.0,2
3300000,510.4,2
3400000,560.7,2
3500000,473.8,2
3600000,483.5,2
3700000,628.0,2
3800000,679.7,2
3900000,546.2,2
4000000,609.6,2
0,7.6,1
100000,112.1,1
200000,219.4,1
300000,350.9,1
400000,283.2,1
500000,301.9,1
600000,343.1,1
700000,455.5,1
800000,410.1,1
900000,476.2,1
1000000,483.5,1
1100000,544.5,1
1200000,514.5,1
1300000,585.2,1
1400000,551.1,1
1500000,554.4,1
1600000,428.7,1
1700000,459.6,1
1800000,542.0,1
1900000,602.7,1
2000000,693.8,1
2100000,514.7,1
2200000,593.4,1
2300000,344.7,1
2400000,494.2,1
2500000,641.4,1
2600000,604.3,1
2700000,510.1,1
2800000,558.8,1
2900000,445.7,1
3000000,524.5,1
3100000,510.3,1
3200000,613.1,1
3300000,594.1,1
3400000,542.9,1
3500000,647.1,1
3600000,528.6,1
3700000,490.0,1
3800000,619.4,1
3900000,644.7,1
4000000,711.5,1
