step,reward,seed
0,2.0,2
100000,789.8,2
200000,877.6,2
300000,879.1,2
400000,880.4,2
500000,882.0,2
600000,882.0,2
700000,881.7,2
800000,882.3,2
900000,882.0,2
1000000,881.1,2
1100000,879.9,2
1200000,881.3,2
1300000,882.3,2
1400000,880.9,2
1500000,879.7,2
1600000,863.9,2
1700000,879.0,2
1800000,880.8,2
1900000,882.6,2
2000000,882.3,2
2100000,883.0,2
2200000,882.8,2
2300000,882.7,2
2400000,882.2,2
2500000,882.8,2
2600000,882.8,2
2700000,882.7,2
2800000,882.8,2
2900000,882.8,2
3000000,882.8,2
3100000,883.0,2
3200000,883.0,2
3300000,882.6,2
3400000,883.0,2
3500000,882.8,2
3600000,883.0,2
3700000,882.4,2
3800000,882.6,2
3900000,882.5,2
4000000,882.5,2
0,4.8,3
100000,867.9,3
200000,879.0,3
300000,877.4,3
400000,867.4,3
500000,880.2,3
600000,881.2,3
700000,881.8,3
800000,879.9,3
900000,879.7,3
1000000,881.9,3
1100000,881.9,3
1200000,879.1,3
1300000,880.5,3
1400000,881.9,3
1500000,881.8,3
1600000,881.3,3
1700000,880.2,3
1800000,881.8,3
1900000,882.2,3
2000000,882.4,3
2100000,882.8,3
2200000,883.0,3
2300000,883.2,3
2400000,883.1,3
2500000,883.0,3
2600000,883.0,3
2700000,882.5,3
2800000,882.9,3
2900000,882.8,3
3000000,882.9,3
3100000,883.0,3
3200000,882.9,3
3300000,882.9,3
3400000,882.9,3
3500000,882.8,3
3600000,882.8,3
3700000,882.7,3
3800000,882.9,3
3900000,882.9,3
4000000,883.0,3
0,1.5,1
100000,860.5,1
200000,859.1,1
300000,864.4,1
400000,864.2,1
500000,866.0,1
600000,860.5,1
700000,865.7,1
800000,865.4,1
900000,864.4,1
1000000,864.7,1
1100000,866.8,1
1200000,865.6,1
1300000,864.8,1
1400000,866.5,1
1500000,866.6,1
1600000,861.9,1
1700000,866.6,1
1800000,863.0,1
1900000,865.2,1
2000000,864.4,1
2100000,866.8,1
2200000,866.9,1
2300000,864.3,1
2400000,866.0,1
2500000,867.4,1
2600000,865.8,1
2700000,867.3,1
2800000,866.6,1
2900000,751.6,1
3000000,866.3,1
3100000,867.3,1
3200000,866.1,1
3300000,867.3,1
3400000,866.2,1
3500000,866.9,1
3600000,865.8,1
3700000,866.7,1
3800000,867.1,1
3900000,867.3,1
4000000,866.2,1
