step,reward,seed
0,179.6,2
100000,557.8,2
200000,607.2,2
300000,642.0,2
400000,616.6,2
500000,768.8,2
600000,786.0,2
700000,767.5,2
800000,802.7,2
900000,809.4,2
1000000,806.6,2
1100000,806.7,2
1200000,808.0,2
1300000,810.3,2
1400000,808.1,2
1500000,814.9,2
1600000,808.8,2
1700000,809.0,2
1800000,813.5,2
1900000,808.5,2
2000000,799.6,2
2100000,814.4,2
2200000,820.4,2
2300000,821.6,2
2400000,821.6,2
2500000,812.9,2
2600000,824.2,2
2700000,817.1,2
2800000,823.3,2
2900000,821.1,2
3000000,825.4,2
3100000,823.1,2
3200000,813.2,2
3300000,822.1,2
3400000,827.9,2
3500000,817.5,2
3600000,823.5,2
3700000,822.7,2
3800000,830.1,2
3900000,826.0,2
4000000,816.0,2
0,179.4,1
100000,581.7,1
200000,598.5,1
300000,600.1,1
400000,587.9,1
500000,623.6,1
600000,239.6,1
700000,729.4,1
800000,765.5,1
900000,776.2,1
1000000,791.4,1
1100000,803.5,1
1200000,810.1,1
1300000,816.9,1
1400000,819.4,1
1500000,818.5,1
1600000,808.8,1
1700000,815.4,1
1800000,817.4,1
1900000,815.3,1
2000000,809.9,1
2100000,819.2,1
2200000,822.2,1
2300000,822.5,1
2400000,822.9,1
2500000,824.0,1
2600000,825.2,1
2700000,822.9,1
2800000,823.6,1
2900000,821.5,1
3000000,822.7,1
3100000,825.6,1
3200000,823.4,1
3300000,819.5,1
3400000,821.7,1
3500000,819.9,1
3600000,818.4,1
3700000,817.8,1
3800000,822.6,1
3900000,820.3,1
4000000,820.4,1
0,178.7,3
100000,587.1,3
200000,594.8,3
300000,618.6,3
400000,700.3,3
500000,734.4,3
600000,760.8,3
700000,796.1,3
800000,804.3,3
900000,818.0,3
1000000,811.9,3
1100000,811.3,3
1200000,814.7,3
1300000,811.6,3
1400000,814.2,3
1500000,819.5,3
1600000,812.2,3
1700000,802.4,3
1800000,812.8,3
1900000,813.6,3
2000000,818.5,3
2100000,808.0,3
2200000,812.1,3
2300000,816.3,3
2400000,817.5,3
2500000,819.8,3
2600000,827.2,3
2700000,829.8,3
2800000,830.0,3
2900000,817.4,3
3000000,829.8,3
3100000,827.1,3
3200000,831.2,3
3300000,827.9,3
3400000,822.5,3
3500000,828.5,3
3600000,832.6,3
3700000,832.7,3
3800000,828.0,3
3900000,834.3,3
4000000,832.4,3
