step,reward,seed
0,0.0,3
100000,973.3,3
200000,972.1,3
300000,978.0,3
400000,979.0,3
500000,981.8,3
600000,983.2,3
700000,986.4,3
800000,979.9,3
900000,980.8,3
1000000,981.7,3
1100000,987.8,3
1200000,986.1,3
1300000,980.2,3
1400000,985.2,3
1500000,981.0,3
1600000,985.5,3
1700000,987.0,3
1800000,988.1,3
1900000,986.8,3
2000000,986.2,3
2100000,981.3,3
2200000,986.1,3
2300000,981.3,3
2400000,986.5,3
2500000,986.8,3
2600000,979.7,3
2700000,986.0,3
2800000,978.8,3
2900000,983.3,3
3000000,989.4,3
3100000,977.5,3
3200000,984.7,3
3300000,985.2,3
3400000,986.0,3
3500000,987.4,3
3600000,983.8,3
3700000,989.2,3
3800000,976.8,3
3900000,991.3,3
4000000,986.5,3
0,0.0,2
100000,983.7,2
200000,977.0,2
300000,980.2,2
400000,976.0,2
500000,985.8,2
600000,985.8,2
700000,983.6,2
800000,984.5,2
900000,983.1,2
1000000,984.7,2
1100000,977.9,2
1200000,979.8,2
1300000,976.6,2
1400000,979.5,2
1500000,982.7,2
1600000,988.8,2
1700000,983.0,2
1800000,984.5,2
1900000,984.0,2
2000000,983.3,2
2100000,987.3,2
2200000,979.1,2
2300000,984.9,2
2400000,980.5,2
2500000,984.2,2
2600000,978.3,2
2700000,983.5,2
2800000,981.9,2
2900000,982.9,2
3000000,989.1,2
3100000,983.2,2
3200000,976.9,2
3300000,982.9,2
3400000,975.5,2
3500000,979.7,2
3600000,980.9,2
3700000,980.7,2
3800000,990.6,2
3900000,983.1,2
4000000,984.9,2
0,0.0,1
100000,986.7,1
200000,980.6,1
300000,975.1,1
400000,983.8,1
500000,986.5,1
600000,982.9,1
700000,986.1,1
800000,984.1,1
900000,981.3,1
1000000,991.1,1
1100000,984.0,1
1200000,985.5,1
1300000,986.2,1
1400000,985.7,1
1500000,983.7,1
1600000,982.8,1
1700000,986.0,1
1800000,984.9,1
1900000,981.7,1
2000000,981.6,1
2100000,982.9,1
2200000,980.8,1
2300000,988.0,1
2400000,981.1,1
2500000,977.7,1
2600000,981.1,1
2700000,977.7,1
2800000,980.2,1
2900000,988.5,1
3000000,976.9,1
3100000,983.5,1
3200000,981.9,1
3300000,985.7,1
3400000,981.3,1
3500000,988.4,1
3600000,986.6,1
3700000,988.1,1
3800000,986.1,1
3900000,981.4,1
4000000,979.9,1
