step,reward,seed
0,27.4,3
100000,844.1,3
200000,843.9,3
300000,825.2,3
400000,838.9,3
500000,847.4,3
600000,845.9,3
700000,846.7,3
800000,845.8,3
900000,847.9,3
1000000,847.2,3
1100000,846.4,3
1200000,837.9,3
1300000,847.6,3
1400000,847.2,3
1500000,846.5,3
1600000,848.3,3
1700000,848.3,3
1800000,846.9,3
1900000,845.4,3
2000000,848.6,3
2100000,848.1,3
2200000,848.4,3
2300000,847.7,3
2400000,848.0,3
2500000,848.9,3
2600000,848.2,3
2700000,848.2,3
2800000,846.2,3
2900000,848.3,3
3000000,848.0,3
3100000,846.6,3
3200000,848.9,3
3300000,848.6,3
3400000,847.5,3
3500000,848.6,3
3600000,849.0,3
3700000,848.7,3
3800000,848.0,3
3900000,847.9,3
4000000,848.9,3
0,0.0,2
100000,841.4,2
200000,846.4,2
300000,848.3,2
400000,846.9,2
500000,848.1,2
600000,848.1,2
700000,845.0,2
800000,846.6,2
900000,845.7,2
1000000,846.5,2
1100000,847.5,2
1200000,847.8,2
1300000,845.9,2
1400000,846.7,2
1500000,848.2,2
1600000,845.0,2
1700000,847.6,2
1800000,848.3,2
1900000,848.5,2
2000000,847.7,2
2100000,847.6,2
2200000,846.3,2
2300000,847.5,2
2400000,847.3,2
2500000,847.5,2
2600000,848.3,2
2700000,848.0,2
2800000,846.9,2
2900000,847.2,2
3000000,847.8,2
3100000,848.5,2
3200000,848.5,2
3300000,848.9,2
3400000,846.6,2
3500000,847.9,2
3600000,849.1,2
3700000,848.4,2
3800000,846.4,2
3900000,842.1,2
4000000,845.9,2
0,28.3,1
100000,844.4,1
200000,847.0,1
300000,846.9,1
400000,847.0,1
500000,847.9,1
600000,846.9,1
700000,847.1,1
800000,846.7,1
900000,848.7,1
1000000,848.3,1
1100000,846.8,1
1200000,847.9,1
1300000,843.8,1
1400000,848.4,1
1500000,846.4,1
1600000,847.4,1
1700000,847.2,1
1800000,848.6,1
1900000,848.8,1
2000000,847.6,1
2100000,846.5,1
2200000,848.9,1
2300000,848.8,1
2400000,849.0,1
2500000,847.0,1
2600000,847.6,1
2700000,848.7,1
2800000,848.4,1
2900000,848.7,1
3000000,849.0,1
3100000,848.7,1
3200000,847.9,1
3300000,849.1,1
3400000,847.5,1
3500000,848.5,1
3600000,848.8,1
3700000,848.2,1
3800000,849.0,1
3900000,848.3,1
4000000,848.5,1
