step,reward,seed
0,6.7,2
100000,36.2,2
200000,110.3,2
300000,349.0,2
400000,453.6,2
500000,554.0,2
600000,568.2,2
700000,692.7,2
800000,714.1,2
900000,793.3,2
1000000,787.0,2
1100000,851.3,2
1200000,908.4,2
1300000,926.6,2
1400000,930.1,2
1500000,943.3,2
1600000,942.4,2
1700000,943.1,2
1800000,946.8,2
1900000,944.2,2
2000000,929.0,2
2100000,946.9,2
2200000,952.9,2
2300000,958.0,2
2400000,959.7,2
2500000,953.5,2
2600000,952.3,2
2700000,962.8,2
2800000,967.8,2
2900000,953.7,2
3000000,961.7,2
3100000,955.1,2
3200000,957.8,2
3300000,963.7,2
3400000,959.6,2
3500000,952.4,2
3600000,950.5,2
3700000,959.2,2
3800000,938.9,2
3900000,925.2,2
4000000,964.3,2
4100000,960.8,2
4200000,947.3,2
4300000,942.3,2
4400000,945.0,2
4500000,940.8,2
4600000,953.9,2
4700000,941.2,2
4800000,949.9,2
4900000,971.4,2
5000000,967.5,2
5100000,958.8,2
5200000,965.3,2
5300000,915.7,2
5400000,950.1,2
5500000,959.4,2
5600000,962.4,2
5700000,967.3,2
5800000,938.5,2
5900000,949.7,2
6000000,960.9,2
6100000,955.5,2
6200000,950.7,2
6300000,948.2,2
6400000,943.8,2
6500000,967.4,2
6600000,948.3,2
6700000,953.7,2
6800000,962.2,2
6900000,952.9,2
7000000,964.3,2
7100000,956.8,2
7200000,963.3,2
7300000,967.1,2
7400000,956.6,2
7500000,949.5,2
7600000,965.8,2
7700000,944.2,2
7800000,956.7,2
7900000,946.9,2
8000000,961.6,2
8100000,957.2,2
8200000,965.6,2
8300000,951.5,2
8400000,958.6,2
8500000,957.8,2
8600000,960.7,2
8700000,961.7,2
8800000,957.6,2
8900000,957.9,2
9000000,959.1,2
9100000,962.0,2
9200000,963.9,2
9300000,962.9,2
9400000,963.2,2
9500000,936.8,2
9600000,940.8,2
9700000,972.9,2
9800000,971.8,2
9900000,963.8,2
10000000,967.0,2
10100000,965.1,2
10200000,960.4,2
10300000,957.5,2
10400000,968.4,2
10500000,953.7,2
10600000,952.9,2
10700000,966.9,2
10800000,937.2,2
10900000,958.9,2
11000000,966.1,2
11100000,947.8,2
11200000,971.9,2
11300000,966.9,2
11400000,967.4,2
11500000,948.2,2
11600000,967.8,2
11700000,973.5,2
11800000,959.3,2
11900000,963.5,2
12000000,975.1,2
12100000,959.8,2
12200000,978.4,2
12300000,978.5,2
12400000,962.4,2
12500000,971.9,2
12600000,955.3,2
12700000,853.4,2
12800000,980.0,2
12900000,973.4,2
13000000,972.9,2
13100000,968.9,2
13200000,954.2,2
13300000,967.7,2
13400000,973.5,2
13500000,967.2,2
13600000,962.9,2
13700000,964.6,2
13800000,975.4,2
13900000,967.5,2
14000000,976.8,2
0,8.8,1
100000,48.6,1
200000,232.3,1
300000,334.4,1
400000,405.7,1
500000,439.7,1
600000,658.5,1
700000,628.2,1
800000,638.0,1
