step,reward,seed
0,0.3,3
100000,85.3,3
200000,110.7,3
300000,230.7,3
400000,259.4,3
500000,316.0,3
600000,381.6,3
700000,285.4,3
800000,329.3,3
900000,330.5,3
1000000,339.5,3
1100000,336.1,3
1200000,361.2,3
1300000,341.0,3
1400000,347.8,3
1500000,340.4,3
1600000,397.1,3
1700000,374.6,3
1800000,338.7,3
1900000,330.9,3
2000000,365.1,3
2100000,304.7,3
2200000,364.1,3
2300000,370.4,3
2400000,346.1,3
2500000,374.1,3
2600000,375.2,3
2700000,372.3,3
2800000,357.0,3
2900000,314.7,3
3000000,354.9,3
3100000,348.9,3
3200000,385.6,3
3300000,398.2,3
3400000,336.8,3
3500000,366.0,3
3600000,342.4,3
3700000,304.7,3
3800000,400.8,3
3900000,340.5,3
0,3.6,2
100000,91.7,2
200000,245.2,2
300000,257.1,2
400000,305.4,2
500000,360.6,2
600000,297.6,2
700000,274.6,2
800000,352.9,2
900000,339.8,2
1000000,342.8,2
1100000,392.1,2
1200000,310.0,2
1300000,362.7,2
1400000,371.3,2
1500000,361.2,2
1600000,359.0,2
1700000,366.7,2
1800000,362.9,2
1900000,352.7,2
2000000,369.8,2
2100000,326.1,2
2200000,346.2,2
2300000,377.6,2
2400000,364.8,2
2500000,331.6,2
2600000,324.9,2
2700000,340.7,2
2800000,391.8,2
2900000,371.9,2
3000000,378.2,2
3100000,331.9,2
3200000,315.5,2
3300000,367.1,2
3400000,354.2,2
3500000,316.5,2
3600000,362.0,2
3700000,344.0,2
3800000,369.0,2
0,0.5,1
100000,126.8,1
200000,177.2,1
300000,207.9,1
400000,237.6,1
500000,289.0,1
600000,322.0,1
700000,319.4,1
800000,349.5,1
900000,340.2,1
1000000,297.8,1
1100000,389.7,1
1200000,360.8,1
1300000,345.5,1
1400000,390.1,1
1500000,328.5,1
1600000,350.9,1
1700000,378.6,1
1800000,339.0,1
1900000,398.2,1
2000000,414.1,1
2100000,352.8,1
2200000,390.4,1
2300000,354.8,1
2400000,334.4,1
2500000,351.6,1
2600000,441.2,1
2700000,325.9,1
2800000,365.3,1
2900000,362.1,1
3000000,416.6,1
3100000,385.5,1
3200000,311.4,1
3300000,407.6,1
3400000,420.7,1
3500000,335.2,1
3600000,369.9,1
3700000,422.8,1
3800000,409.7,1
3900000,386.4,1
