step,reward,seed
0,65.5,2
100000,940.1,2
200000,945.5,2
300000,980.8,2
400000,984.0,2
500000,981.6,2
600000,954.3,2
700000,982.4,2
800000,992.2,2
900000,965.7,2
1000000,847.4,2
1100000,964.5,2
1200000,993.7,2
1300000,988.4,2
1400000,971.8,2
1500000,976.6,2
1600000,881.4,2
1700000,998.1,2
1800000,994.1,2
2000000,991.5,2
2100000,988.7,2
2200000,989.2,2
2300000,998.6,2
2400000,967.5,2
2500000,988.7,2
2600000,997.6,2
2700000,982.7,2
2800000,995.7,2
2900000,995.6,2
3000000,969.1,2
3100000,996.0,2
3200000,997.3,2
3300000,993.6,2
3400000,987.6,2
3500000,977.3,2
3600000,969.3,2
3700000,987.3,2
3800000,969.3,2
3900000,987.1,2
4000000,941.7,2
100000,977.6,3
200000,944.3,3
300000,979.0,3
400000,932.2,3
500000,929.7,3
700000,974.0,3
800000,988.3,3
900000,996.0,3
1000000,976.5,3
1100000,974.8,3
1200000,987.6,3
1300000,993.8,3
1400000,990.1,3
1500000,995.7,3
1600000,976.6,3
1700000,977.0,3
1800000,991.5,3
1900000,989.4,3
2000000,990.9,3
2100000,990.1,3
2200000,999.6,3
2300000,997.5,3
2400000,999.8,3
2500000,998.7,3
2600000,1000.0,3
2700000,994.4,3
2800000,996.6,3
2900000,988.8,3
3000000,979.0,3
3100000,999.8,3
3200000,999.1,3
3300000,999.3,3
3400000,995.2,3
3500000,998.3,3
3600000,984.4,3
3700000,986.5,3
3800000,973.7,3
3900000,960.5,3
0,141.5,1
100000,994.0,1
200000,984.4,1
300000,907.6,1
400000,991.0,1
500000,990.6,1
600000,926.2,1
700000,990.4,1
800000,995.2,1
900000,981.6,1
1000000,939.0,1
1100000,990.7,1
1200000,981.6,1
1300000,983.3,1
1400000,986.8,1
1500000,999.0,1
1600000,999.1,1
1700000,998.2,1
1800000,979.9,1
1900000,984.5,1
2000000,999.3,1
2100000,988.2,1
2200000,969.1,1
2300000,984.1,1
2400000,976.8,1
2500000,960.0,1
2600000,978.9,1
2700000,995.7,1
2800000,997.1,1
2900000,994.7,1
3000000,955.8,1
3100000,955.6,1
3200000,969.9,1
3300000,994.7,1
3400000,985.9,1
3500000,996.9,1
3600000,996.2,1
3700000,985.7,1
3800000,998.2,1
3900000,977.4,1
