step,reward,seed
0,305.4,3
100000,946.9,3
200000,963.6,3
300000,933.9,3
400000,949.3,3
500000,964.8,3
600000,966.5,3
700000,973.0,3
800000,957.7,3
900000,951.0,3
1000000,954.9,3
1100000,976.9,3
1200000,975.1,3
1300000,976.6,3
1400000,962.4,3
1500000,960.9,3
1600000,962.6,3
1700000,978.5,3
1800000,968.1,3
1900000,963.1,3
2000000,944.1,3
2100000,958.2,3
2200000,952.6,3
2300000,962.2,3
2500000,950.7,3
2600000,955.8,3
2700000,959.7,3
2800000,981.9,3
2900000,959.1,3
3000000,945.1,3
3100000,953.9,3
3200000,956.7,3
3300000,966.1,3
3400000,945.8,3
3500000,964.2,3
3600000,959.2,3
3700000,974.5,3
3800000,957.7,3
3900000,943.9,3
100000,839.7,1
200000,953.2,1
300000,936.8,1
400000,935.9,1
500000,941.0,1
600000,959.6,1
700000,930.0,1
800000,946.3,1
900000,943.3,1
1000000,945.2,1
1100000,960.5,1
1200000,957.2,1
1400000,949.1,1
1500000,973.9,1
1600000,936.7,1
1700000,958.0,1
1800000,957.3,1
1900000,950.9,1
2000000,968.7,1
2100000,954.9,1
2200000,964.2,1
2300000,971.2,1
2400000,962.8,1
2500000,958.5,1
2600000,966.3,1
2700000,978.2,1
2800000,978.5,1
2900000,980.7,1
3000000,964.2,1
3100000,950.7,1
3200000,928.4,1
3300000,960.8,1
3400000,958.0,1
3500000,946.7,1
3600000,947.9,1
3700000,972.1,1
3800000,979.0,1
3900000,979.2,1
0,254.9,2
100000,951.2,2
200000,928.7,2
300000,958.8,2
400000,929.7,2
500000,959.9,2
600000,942.4,2
700000,951.3,2
800000,970.3,2
900000,952.7,2
1000000,957.3,2
1100000,966.4,2
1300000,929.8,2
1400000,955.2,2
1500000,965.0,2
1600000,962.2,2
1700000,955.4,2
1800000,966.7,2
1900000,978.5,2
2000000,980.8,2
2100000,967.2,2
2200000,963.5,2
2300000,961.2,2
2400000,974.0,2
2500000,956.9,2
2600000,964.2,2
2700000,980.0,2
2800000,982.8,2
2900000,974.0,2
3000000,976.4,2
3100000,948.3,2
3200000,966.2,2
3300000,942.0,2
3400000,947.5,2
3500000,968.3,2
3600000,967.8,2
3700000,967.7,2
3800000,974.6,2
3900000,974.8,2
