step,reward,seed
0,0.0,3
100000,94.7,3
200000,258.6,3
300000,735.0,3
400000,728.3,3
500000,770.2,3
600000,753.4,3
700000,703.6,3
800000,748.0,3
900000,782.3,3
1000000,754.4,3
1100000,760.3,3
1200000,687.5,3
1300000,780.5,3
1400000,763.2,3
1500000,785.2,3
1600000,769.2,3
1700000,787.2,3
1800000,725.3,3
1900000,792.8,3
2000000,790.6,3
2100000,759.1,3
2200000,791.8,3
2300000,778.1,3
2400000,770.4,3
2500000,792.2,3
2600000,781.7,3
2700000,770.7,3
2800000,777.9,3
2900000,790.9,3
3000000,765.0,3
3100000,780.3,3
3200000,784.1,3
3300000,779.0,3
3400000,772.2,3
3500000,766.3,3
3600000,774.0,3
3700000,773.7,3
3800000,693.9,3
0,5.0,2
100000,435.6,2
200000,814.0,2
300000,792.3,2
400000,753.6,2
500000,770.8,2
600000,776.7,2
700000,743.2,2
800000,800.6,2
900000,786.3,2
1000000,804.5,2
1100000,778.6,2
1200000,795.6,2
1300000,805.7,2
1500000,793.8,2
1600000,785.0,2
1700000,800.3,2
1800000,789.2,2
1900000,814.0,2
2000000,812.9,2
2100000,818.4,2
2200000,833.7,2
2300000,763.3,2
2400000,773.9,2
2500000,711.6,2
2600000,772.6,2
2700000,781.6,2
2800000,823.9,2
2900000,792.2,2
3000000,808.3,2
3100000,754.2,2
3200000,812.3,2
3300000,819.2,2
3400000,728.4,2
3500000,794.6,2
3600000,825.7,2
3700000,830.5,2
3800000,820.6,2
3900000,821.6,2
0,0.0,1
100000,415.5,1
200000,772.1,1
300000,791.4,1
400000,799.4,1
500000,779.2,1
600000,787.2,1
700000,794.4,1
800000,785.9,1
900000,730.1,1
1000000,799.7,1
1200000,800.0,1
1300000,813.3,1
1400000,810.4,1
1500000,821.2,1
1600000,799.5,1
1700000,787.5,1
1800000,805.8,1
1900000,800.2,1
2000000,794.0,1
2100000,827.1,1
2200000,765.2,1
2300000,803.0,1
2400000,821.0,1
2500000,797.9,1
2600000,791.4,1
2700000,829.3,1
2800000,815.1,1
2900000,815.4,1
3000000,805.8,1
3100000,803.5,1
3200000,789.0,1
3400000,796.2,1
3500000,800.0,1
3600000,826.6,1
3700000,799.8,1
3800000,788.4,1
3900000,806.7,1
