step,reward,seed
0,105.0,3
100000,674.4,3
200000,774.0,3
300000,793.1,3
400000,823.6,3
500000,811.9,3
600000,771.5,3
700000,776.0,3
800000,813.9,3
900000,788.5,3
1000000,792.8,3
1100000,790.3,3
1200000,787.3,3
1300000,817.2,3
1400000,815.2,3
1500000,812.0,3
1600000,809.9,3
1700000,807.0,3
1800000,831.3,3
1900000,821.9,3
2000000,812.2,3
2100000,799.1,3
2300000,829.5,3
2500000,824.6,3
2600000,827.0,3
2700000,832.4,3
2800000,792.1,3
2900000,832.5,3
3000000,827.5,3
3100000,842.0,3
3200000,841.8,3
3300000,839.9,3
3400000,839.9,3
3500000,840.8,3
3600000,723.4,3
3700000,839.1,3
3800000,782.4,3
3900000,839.1,3
0,151.9,1
100000,637.2,1
200000,800.8,1
300000,838.6,1
400000,833.3,1
500000,780.6,1
600000,821.4,1
700000,780.6,1
800000,768.6,1
900000,760.8,1
1000000,755.6,1
1100000,764.2,1
1200000,794.0,1
1300000,777.3,1
1400000,781.2,1
1600000,821.2,1
1700000,807.5,1
1800000,803.7,1
1900000,798.9,1
2000000,808.2,1
2100000,808.9,1
2200000,823.5,1
2400000,813.6,1
2600000,808.4,1
2700000,810.6,1
2800000,808.5,1
2900000,806.0,1
3000000,810.1,1
3100000,819.2,1
3200000,797.4,1
3300000,819.2,1
3400000,817.4,1
3500000,830.3,1
3600000,841.9,1
3700000,841.3,1
3800000,825.1,1
3900000,830.7,1
100000,718.6,2
200000,811.9,2
300000,793.5,2
400000,774.3,2
500000,773.8,2
600000,799.6,2
700000,810.7,2
800000,812.1,2
900000,771.1,2
1000000,791.7,2
1100000,786.7,2
1200000,828.5,2
1300000,821.5,2
1400000,813.5,2
1500000,811.5,2
1600000,831.1,2
1700000,812.9,2
1800000,820.0,2
1900000,820.7,2
2000000,821.1,2
2100000,835.1,2
2200000,817.9,2
2300000,822.5,2
2400000,819.7,2
2500000,810.4,2
2600000,807.0,2
2700000,823.2,2
2900000,820.8,2
3000000,818.8,2
3100000,818.6,2
3200000,818.9,2
3300000,839.0,2
3400000,838.4,2
3500000,812.7,2
3600000,827.4,2
3800000,818.5,2
3900000,820.9,2
