step,reward,seed
0,166.0,3
100000,314.1,3
300000,441.5,3
400000,546.6,3
500000,538.0,3
600000,562.0,3
700000,573.6,3
800000,595.9,3
900000,595.0,3
1000000,599.6,3
1200000,632.5,3
1300000,637.9,3
1400000,635.9,3
1500000,616.1,3
1600000,606.3,3
1700000,616.3,3
1800000,670.3,3
1900000,669.8,3
2000000,610.8,3
2100000,646.0,3
2200000,656.3,3
2400000,717.9,3
2500000,736.0,3
2600000,736.0,3
2700000,718.3,3
2800000,714.4,3
2900000,715.9,3
3000000,713.2,3
3100000,749.2,3
3200000,753.0,3
3300000,694.8,3
3400000,742.1,3
3500000,689.8,3
3600000,706.0,3
3700000,682.5,3
3800000,610.6,3
3900000,734.5,3
100000,468.0,2
200000,297.3,2
300000,490.6,2
400000,526.1,2
500000,435.8,2
600000,486.1,2
700000,527.8,2
800000,597.5,2
900000,535.6,2
1000000,606.8,2
1100000,630.2,2
1200000,608.4,2
1300000,573.9,2
1500000,634.2,2
1600000,607.5,2
1700000,591.4,2
1800000,681.9,2
1900000,659.9,2
2000000,648.5,2
2100000,629.1,2
2200000,660.9,2
2300000,652.4,2
2400000,691.1,2
2500000,661.8,2
2600000,687.8,2
2800000,681.6,2
2900000,668.5,2
3000000,692.3,2
3100000,660.9,2
3200000,712.5,2
3300000,689.2,2
3400000,737.9,2
3500000,711.4,2
3600000,710.1,2
3700000,693.0,2
3800000,629.1,2
3900000,644.5,2
0,183.1,1
100000,393.0,1
200000,550.3,1
300000,571.3,1
400000,573.3,1
500000,576.9,1
600000,610.8,1
700000,627.4,1
800000,699.2,1
900000,618.1,1
1000000,631.6,1
1100000,707.8,1
1200000,596.8,1
1300000,631.7,1
1400000,614.9,1
1500000,626.5,1
1600000,676.3,1
1700000,630.2,1
1800000,639.6,1
1900000,628.9,1
2000000,652.4,1
2100000,637.4,1
2200000,625.8,1
2300000,677.0,1
2400000,657.8,1
2500000,731.4,1
2600000,722.1,1
2700000,664.0,1
2800000,654.4,1
2900000,656.3,1
3000000,695.7,1
3100000,649.9,1
3200000,650.4,1
3400000,717.9,1
3500000,681.6,1
3600000,692.5,1
3700000,704.0,1
3800000,686.8,1
3900000,741.8,1
