step,reward,seed
0,6.8,3
100000,270.5,3
200000,284.3,3
300000,392.2,3
400000,444.6,3
500000,382.2,3
600000,453.8,3
700000,478.5,3
800000,427.2,3
1000000,513.7,3
1100000,510.8,3
1200000,497.0,3
1300000,485.6,3
1400000,500.1,3
1500000,518.1,3
1700000,515.4,3
1800000,535.2,3
1900000,556.9,3
2000000,519.5,3
2100000,506.8,3
2200000,519.7,3
2300000,493.7,3
2400000,553.4,3
2500000,461.3,3
2600000,519.6,3
2700000,524.4,3
2800000,524.6,3
2900000,529.8,3
3000000,460.5,3
3100000,418.6,3
3300000,498.3,3
3400000,494.1,3
3500000,554.5,3
3600000,527.2,3
3700000,544.4,3
3800000,518.6,3
3900000,541.1,3
0,6.9,2
100000,285.5,2
200000,277.3,2
300000,427.1,2
400000,428.8,2
500000,481.8,2
600000,483.5,2
700000,494.4,2
800000,490.2,2
900000,508.6,2
1000000,545.1,2
1100000,611.0,2
1300000,671.9,2
1400000,599.7,2
1500000,492.7,2
1600000,554.1,2
1700000,729.7,2
1800000,735.6,2
1900000,766.1,2
2000000,749.4,2
2100000,646.8,2
2200000,561.9,2
2300000,665.8,2
2400000,760.2,2
2500000,680.0,2
2600000,593.0,2
2800000,710.1,2
2900000,647.3,2
3000000,755.7,2
3100000,769.2,2
3200000,725.4,2
3300000,681.0,2
3400000,759.7,2
3500000,828.4,2
3600000,770.6,2
3700000,731.6,2
3800000,777.9,2
3900000,773.5,2
0,16.2,1
100000,302.4,1
200000,348.0,1
300000,306.6,1
400000,340.5,1
500000,326.2,1
600000,373.6,1
700000,425.7,1
800000,478.6,1
900000,438.7,1
1000000,412.4,1
1100000,490.7,1
1200000,504.4,1
1300000,508.8,1
1400000,453.3,1
1500000,416.9,1
1600000,534.5,1
1700000,555.4,1
1800000,546.4,1
1900000,646.7,1
2000000,567.2,1
2100000,562.4,1
2200000,659.3,1
2300000,717.4,1
2400000,654.3,1
2500000,777.5,1
2600000,704.5,1
2700000,596.9,1
2800000,652.6,1
2900000,454.2,1
3000000,623.7,1
3100000,756.8,1
3200000,670.2,1
3300000,664.9,1
3400000,429.0,1
3500000,680.3,1
3600000,545.9,1
3700000,742.1,1
3800000,447.0,1
3900000,617.8,1
