step,reward,seed
100000,420.4,3
200000,362.1,3
300000,522.2,3
400000,449.8,3
500000,480.2,3
600000,588.0,3
700000,568.8,3
800000,565.2,3
900000,564.2,3
1000000,629.6,3
1100000,598.9,3
1200000,609.6,3
1300000,660.5,3
1400000,334.9,3
1500000,578.6,3
1600000,647.0,3
1800000,587.3,3
1900000,603.8,3
2000000,690.0,3
2100000,684.7,3
2200000,626.7,3
2300000,652.3,3
2400000,628.8,3
2500000,647.2,3
2600000,647.0,3
2700000,666.8,3
2800000,636.3,3
2900000,632.9,3
3000000,630.1,3
3100000,593.3,3
3200000,581.0,3
3300000,694.4,3
3400000,693.6,3
3500000,664.3,3
3600000,639.5,3
3700000,586.6,3
3800000,595.8,3
3900000,617.3,3
100000,466.6,1
300000,483.0,1
400000,543.0,1
500000,543.4,1
600000,593.4,1
700000,567.6,1
800000,536.3,1
900000,565.3,1
1000000,625.5,1
1100000,488.9,1
1200000,630.0,1
1300000,543.2,1
1400000,604.9,1
1500000,544.4,1
1600000,498.2,1
1700000,640.8,1
1800000,617.1,1
1900000,596.1,1
2000000,647.4,1
2100000,563.1,1
2200000,621.0,1
2300000,646.9,1
2400000,648.5,1
2500000,623.3,1
2600000,566.9,1
2700000,644.7,1
2800000,629.6,1
2900000,675.2,1
3000000,548.5,1
3100000,649.2,1
3200000,647.2,1
3300000,640.5,1
3400000,715.7,1
3500000,619.8,1
3600000,632.6,1
3700000,532.3,1
3800000,629.9,1
3900000,656.3,1
0,96.2,2
100000,437.7,2
200000,351.0,2
300000,492.0,2
400000,500.7,2
500000,480.7,2
700000,543.0,2
800000,590.4,2
900000,519.7,2
1000000,541.1,2
1100000,562.5,2
1200000,590.0,2
1300000,615.5,2
1400000,589.3,2
1500000,623.1,2
1700000,590.8,2
1800000,591.0,2
1900000,615.6,2
2000000,529.0,2
2100000,618.8,2
2200000,632.4,2
2300000,666.6,2
2400000,568.1,2
2500000,609.5,2
2600000,647.8,2
2700000,625.9,2
2800000,601.8,2
2900000,653.4,2
3000000,672.6,2
3100000,670.6,2
3200000,670.2,2
3400000,626.6,2
3500000,676.2,2
3600000,643.6,2
3700000,672.5,2
3800000,710.5,2
3900000,735.1,2
