step,reward,seed
100000,185.8,3
200000,313.7,3
400000,320.5,3
600000,380.7,3
700000,388.6,3
800000,496.2,3
900000,505.2,3
1000000,497.7,3
1100000,524.9,3
1200000,472.7,3
1300000,509.9,3
1400000,507.6,3
1500000,559.6,3
1600000,450.4,3
1700000,513.0,3
1800000,522.8,3
1900000,570.3,3
2100000,497.5,3
2200000,499.6,3
2300000,505.3,3
2400000,550.1,3
2500000,605.1,3
2600000,598.6,3
2700000,622.1,3
2800000,652.1,3
2900000,623.8,3
3000000,587.9,3
3100000,594.0,3
3200000,582.8,3
3300000,582.0,3
3400000,585.3,3
3500000,645.7,3
3600000,631.9,3
3700000,616.6,3
3800000,635.5,3
3900000,590.2,3
0,6.9,2
100000,224.1,2
200000,285.8,2
300000,322.8,2
400000,366.8,2
500000,387.5,2
600000,401.1,2
700000,424.8,2
800000,444.6,2
900000,451.3,2
1000000,447.2,2
1100000,530.1,2
1300000,507.8,2
1400000,532.0,2
1500000,509.3,2
1600000,570.5,2
1800000,473.5,2
1900000,479.6,2
2000000,536.3,2
2100000,610.3,2
2200000,552.9,2
2300000,554.0,2
2400000,580.3,2
2500000,631.0,2
2600000,638.3,2
2700000,617.4,2
2800000,608.2,2
2900000,557.2,2
3000000,635.2,2
3100000,573.7,2
3200000,578.5,2
3300000,600.8,2
3400000,570.8,2
3500000,561.3,2
3600000,604.9,2
3700000,627.0,2
3800000,634.9,2
3900000,508.6,2
0,5.3,1
100000,208.4,1
200000,266.6,1
300000,300.7,1
400000,360.2,1
500000,287.4,1
600000,412.6,1
700000,369.2,1
800000,384.9,1
900000,391.8,1
1000000,405.4,1
1100000,439.3,1
1200000,356.3,1
1300000,407.1,1
1400000,440.1,1
1500000,430.3,1
1600000,416.3,1
1700000,388.6,1
1800000,410.7,1
1900000,431.3,1
2000000,425.3,1
2100000,453.2,1
2200000,476.5,1
2300000,503.4,1
2400000,532.1,1
2500000,509.8,1
2600000,470.0,1
2700000,488.0,1
2800000,533.2,1
2900000,530.8,1
3000000,550.1,1
3100000,542.3,1
3200000,549.1,1
3300000,471.9,1
3400000,446.8,1
3500000,364.6,1
3600000,534.0,1
3700000,459.5,1
3800000,518.1,1
3900000,523.1,1
