step,reward,seed
0,12.5,3
100000,386.0,3
200000,236.6,3
300000,438.5,3
400000,512.2,3
500000,495.0,3
600000,490.0,3
700000,524.4,3
800000,603.1,3
900000,647.5,3
1000000,633.8,3
1100000,605.3,3
1200000,670.9,3
1300000,641.2,3
1400000,601.6,3
1500000,732.4,3
1600000,654.5,3
1700000,755.1,3
1800000,621.0,3
1900000,732.9,3
2000000,635.5,3
2100000,665.4,3
2200000,722.7,3
2300000,655.3,3
2400000,703.0,3
2500000,623.5,3
2600000,667.2,3
2700000,440.9,3
2800000,777.7,3
2900000,695.4,3
3000000,727.6,3
3100000,808.9,3
3200000,713.5,3
3300000,716.1,3
3400000,752.9,3
3500000,697.0,3
3600000,816.0,3
3700000,640.4,3
3800000,793.3,3
3900000,734.1,3
100000,265.1,2
200000,449.6,2
300000,503.4,2
400000,486.3,2
500000,534.1,2
600000,572.9,2
700000,530.4,2
800000,603.3,2
900000,619.1,2
1000000,645.6,2
1100000,735.3,2
1200000,750.4,2
1300000,712.9,2
1400000,706.1,2
1500000,744.0,2
1600000,699.3,2
1700000,711.7,2
1800000,692.3,2
2000000,662.8,2
2100000,668.1,2
2200000,734.6,2
2300000,608.2,2
2400000,635.4,2
2500000,745.7,2
2600000,705.8,2
2700000,722.9,2
2800000,597.5,2
2900000,720.7,2
3100000,816.5,2
3200000,729.9,2
3300000,741.3,2
3400000,715.6,2
3500000,755.0,2
3600000,662.8,2
3700000,688.5,2
3800000,764.5,2
3900000,758.6,2
100000,356.1,1
200000,374.1,1
300000,519.7,1
400000,480.8,1
500000,452.3,1
600000,390.4,1
700000,590.5,1
800000,570.6,1
900000,667.9,1
1000000,635.3,1
1100000,643.3,1
1200000,687.5,1
1300000,705.5,1
1400000,731.3,1
1500000,756.5,1
1600000,746.4,1
1700000,769.4,1
1800000,779.8,1
1900000,581.2,1
2100000,646.7,1
2200000,834.2,1
2300000,640.1,1
2400000,725.7,1
2500000,629.2,1
2600000,827.5,1
2700000,764.0,1
2800000,686.5,1
2900000,703.8,1
3000000,696.5,1
3100000,838.8,1
3200000,872.7,1
3300000,762.1,1
3400000,774.0,1
3500000,649.7,1
3600000,789.1,1
3700000,725.8,1
3800000,757.0,1
3900000,778.8,1
