step,reward,seed
100000,923.5,3
200000,938.0,3
300000,929.9,3
400000,938.2,3
500000,949.7,3
600000,920.8,3
700000,945.7,3
800000,945.6,3
900000,916.0,3
1000000,956.1,3
1100000,951.5,3
1200000,957.7,3
1300000,963.2,3
1400000,958.3,3
1500000,967.3,3
1600000,954.3,3
1700000,951.7,3
1800000,958.9,3
1900000,970.9,3
2000000,923.0,3
2200000,964.4,3
2300000,957.6,3
2400000,939.6,3
2500000,943.0,3
2600000,945.6,3
2700000,959.4,3
2800000,945.0,3
2900000,965.3,3
3000000,971.4,3
3100000,964.7,3
3200000,965.6,3
3300000,956.2,3
3400000,965.2,3
3500000,956.3,3
3600000,959.5,3
3700000,947.5,3
3800000,942.2,3
3900000,965.3,3
100000,731.2,1
200000,728.6,1
300000,904.9,1
400000,928.8,1
500000,967.0,1
600000,955.6,1
700000,933.1,1
800000,968.0,1
900000,938.9,1
1000000,959.4,1
1100000,966.9,1
1200000,959.8,1
1300000,966.1,1
1400000,957.3,1
1500000,951.4,1
1600000,953.2,1
1700000,952.8,1
1800000,959.4,1
1900000,960.4,1
2000000,951.1,1
2100000,966.4,1
2200000,955.6,1
2300000,972.5,1
2400000,952.6,1
2500000,960.2,1
2600000,944.2,1
2700000,958.2,1
2800000,96.3,1
2900000,651.7,1
3000000,0.0,1
3100000,99.7,1
3200000,418.2,1
3300000,902.5,1
3400000,961.4,1
3500000,961.4,1
3600000,958.4,1
3700000,956.4,1
3800000,957.2,1
3900000,961.8,1
0,0.0,2
100000,956.8,2
200000,931.9,2
300000,907.4,2
400000,943.4,2
500000,955.9,2
600000,952.6,2
700000,947.0,2
800000,946.2,2
900000,961.2,2
1000000,960.2,2
1100000,877.7,2
1200000,946.1,2
1300000,954.3,2
1400000,941.5,2
1500000,940.3,2
1600000,955.1,2
1700000,741.4,2
1800000,867.7,2
1900000,958.9,2
2000000,960.2,2
2100000,952.7,2
2200000,956.2,2
2300000,956.4,2
2400000,950.5,2
2500000,224.8,2
2600000,955.1,2
2700000,943.6,2
2800000,957.0,2
2900000,956.4,2
3000000,934.6,2
3100000,954.6,2
3300000,951.7,2
3400000,960.0,2
3500000,949.3,2
3600000,963.4,2
3700000,950.0,2
3800000,941.8,2
3900000,954.8,2
