step,reward,seed
0,179.3,3
100000,677.4,3
200000,685.9,3
300000,734.6,3
500000,715.5,3
600000,746.4,3
700000,714.3,3
800000,699.4,3
900000,748.0,3
1000000,736.0,3
1100000,757.3,3
1200000,702.1,3
1300000,709.9,3
1400000,735.9,3
1500000,775.1,3
1700000,755.5,3
1800000,774.1,3
1900000,763.0,3
2000000,784.3,3
2100000,776.1,3
2200000,778.5,3
2300000,747.5,3
2400000,789.1,3
2500000,798.0,3
2700000,760.2,3
2800000,739.7,3
2900000,764.6,3
3000000,809.7,3
3100000,776.2,3
3200000,767.8,3
3300000,781.9,3
3400000,758.2,3
3500000,790.1,3
3600000,790.7,3
3700000,794.1,3
3800000,802.8,3
3900000,796.2,3
0,74.1,1
100000,752.9,1
200000,758.4,1
300000,578.9,1
400000,772.3,1
500000,712.1,1
600000,731.4,1
700000,774.9,1
800000,791.1,1
1000000,758.9,1
1100000,780.0,1
1300000,740.0,1
1400000,799.6,1
1500000,797.3,1
1600000,796.7,1
1700000,571.1,1
1800000,781.3,1
1900000,794.2,1
2000000,793.2,1
2100000,776.0,1
2200000,714.6,1
2300000,737.5,1
2400000,807.2,1
2500000,770.7,1
2600000,765.7,1
2800000,791.3,1
3000000,818.0,1
3100000,567.9,1
3200000,399.5,1
3300000,777.9,1
3400000,777.3,1
3500000,746.8,1
3600000,765.5,1
3700000,767.3,1
3800000,789.1,1
3900000,808.8,1
0,403.3,2
100000,444.9,2
200000,647.2,2
300000,628.9,2
400000,682.6,2
500000,698.8,2
600000,742.0,2
700000,737.6,2
800000,750.3,2
900000,731.8,2
1000000,783.2,2
1100000,609.5,2
1200000,658.7,2
1300000,600.6,2
1400000,768.8,2
1500000,756.7,2
1600000,742.3,2
1700000,746.3,2
1800000,794.4,2
2000000,619.9,2
2100000,623.8,2
2200000,747.2,2
2300000,789.8,2
2400000,743.6,2
2500000,681.6,2
2600000,772.9,2
2700000,773.2,2
2800000,798.3,2
2900000,677.3,2
3000000,805.2,2
3100000,764.2,2
3200000,796.5,2
3300000,742.6,2
3400000,755.0,2
3500000,702.2,2
3600000,682.8,2
3700000,747.7,2
3800000,689.2,2
3900000,796.6,2
