step,reward,seed
0,5.2,3
200000,5.1,3
300000,4.2,3
400000,5.8,3
700000,6.7,3
900000,4.6,3
1100000,4.7,3
1300000,4.5,3
1500000,4.9,3
2700000,4.3,3
2800000,4.7,3
3200000,4.1,3
3500000,5.3,3
3700000,4.2,3
4100000,4.3,3
4600000,6.2,3
4700000,6.7,3
4800000,6.7,3
5100000,7.0,3
5200000,6.9,3
6000000,4.6,3
6300000,5.3,3
6400000,4.6,3
6600000,5.0,3
7400000,4.9,3
7800000,4.2,3
8900000,5.0,3
9100000,3.9,3
9300000,4.4,3
9500000,5.3,3
9600000,4.3,3
9700000,5.4,3
9800000,5.6,3
10100000,5.1,3
10500000,4.7,3
10700000,4.4,3
11000000,3.8,3
11100000,4.2,3
11200000,4.1,3
11400000,4.1,3
11700000,5.1,3
12400000,4.5,3
12600000,4.8,3
12800000,6.8,3
12900000,6.5,3
13500000,4.1,3
13600000,4.3,3
13800000,4.5,3
200000,7.8,2
400000,5.0,2
500000,5.2,2
900000,4.1,2
1100000,4.7,2
1300000,5.0,2
1400000,4.3,2
1500000,3.9,2
1800000,4.9,2
2100000,4.7,2
2200000,4.6,2
2800000,5.4,2
3200000,6.3,2
3600000,6.7,2
3700000,4.2,2
3800000,5.1,2
4100000,4.7,2
4200000,4.9,2
5200000,4.7,2
5300000,4.4,2
5800000,4.6,2
6100000,5.0,2
6900000,4.5,2
7000000,4.1,2
7200000,4.1,2
7400000,4.5,2
7500000,4.1,2
8100000,4.3,2
8200000,4.4,2
8300000,5.8,2
8400000,5.8,2
8900000,4.9,2
9000000,4.8,2
9400000,6.9,2
9600000,7.0,2
9900000,4.3,2
10400000,4.8,2
10500000,5.3,2
10600000,5.4,2
10700000,5.1,2
11600000,4.9,2
11800000,5.4,2
12200000,5.0,2
12300000,5.2,2
12500000,4.1,2
13200000,6.1,2
13300000,5.6,2
13500000,5.4,2
13700000,5.0,2
13800000,4.7,2
100000,0.0,1
300000,0.0,1
600000,0.0,1
700000,0.0,1
900000,0.0,1
2000000,0.0,1
2100000,0.0,1
3100000,0.0,1
3200000,0.0,1
3400000,0.0,1
3700000,0.0,1
3800000,0.0,1
3900000,0.0,1
4100000,0.0,1
4400000,0.0,1
4700000,0.0,1
5200000,0.0,1
5600000,0.0,1
5700000,0.0,1
5900000,0.0,1
6400000,0.0,1
6800000,0.0,1
7000000,0.0,1
7100000,0.0,1
7200000,0.0,1
7400000,0.0,1
7500000,0.0,1
7600000,0.0,1
7700000,0.0,1
8000000,0.0,1
8300000,0.0,1
8500000,0.0,1
8600000,0.0,1
9100000,0.0,1
9200000,0.0,1
9400000,0.0,1
9700000,0.0,1
10100000,0.0,1
10200000,0.0,1
10400000,0.0,1
11100000,0.0,1
11200000,0.0,1
11300000,0.0,1
11500000,0.0,1
11600000,0.0,1
12200000,0.0,1
12300000,0.0,1
12400000,0.0,1
12700000,0.0,1
13000000,0.0,1
13100000,0.0,1
13200000,0.0,1
13300000,0.0,1
13600000,0.0,1
13700000,0.0,1
13800000,0.0,1
