step,reward,seed
200000,26.6,2
400000,21.7,2
500000,19.5,2
1000000,17.5,2
1400000,20.5,2
1800000,18.6,2
2000000,18.0,2
2400000,19.9,2
2700000,20.2,2
3100000,19.7,2
3400000,18.8,2
3500000,19.2,2
3600000,18.7,2
3700000,18.9,2
3800000,20.5,2
4000000,19.5,2
4300000,24.0,2
4700000,22.0,2
4900000,20.2,2
5400000,21.9,2
5500000,22.0,2
5600000,21.6,2
6000000,22.2,2
6100000,22.8,2
6700000,21.8,2
6800000,20.1,2
6900000,21.9,2
7300000,18.9,2
8000000,21.5,2
8100000,21.8,2
8400000,18.2,2
8600000,18.8,2
9100000,21.3,2
9300000,22.8,2
9400000,27.6,2
9500000,24.6,2
9800000,19.5,2
9900000,21.0,2
11400000,17.8,2
12100000,18.5,2
12200000,34.3,2
12500000,19.6,2
12800000,31.1,2
13100000,35.4,2
13400000,25.7,2
13500000,20.7,2
13700000,28.8,2
13800000,28.7,2
13900000,20.3,2
100000,50.6,3
400000,34.5,3
500000,34.2,3
600000,21.2,3
800000,27.2,3
900000,19.7,3
1000000,21.8,3
1200000,20.3,3
1600000,19.1,3
1700000,24.4,3
2400000,18.1,3
2600000,21.1,3
3300000,25.0,3
3400000,23.0,3
3700000,21.4,3
4000000,18.7,3
4200000,20.0,3
4500000,20.2,3
4600000,34.8,3
4800000,21.8,3
4900000,21.1,3
5000000,20.7,3
5100000,21.7,3
5200000,21.5,3
6000000,20.7,3
6200000,21.9,3
6700000,20.2,3
6900000,19.3,3
7100000,19.5,3
7300000,18.5,3
7800000,18.6,3
8900000,21.7,3
9000000,22.1,3
9100000,21.3,3
9400000,20.1,3
9700000,21.4,3
9800000,29.6,3
9900000,30.3,3
10300000,21.5,3
10400000,20.3,3
10500000,18.6,3
10700000,20.0,3
10800000,20.9,3
10900000,19.8,3
11000000,18.8,3
11100000,18.4,3
11700000,17.9,3
11900000,19.1,3
12200000,18.4,3
12500000,19.1,3
12600000,20.4,3
12900000,31.9,3
13000000,19.9,3
13100000,18.9,3
13200000,19.8,3
13300000,25.1,3
13400000,25.7,3
13500000,24.4,3
13600000,19.0,3
13800000,22.3,3
13900000,19.5,3
400000,29.0,1
600000,22.2,1
700000,21.7,1
1200000,22.3,1
1400000,20.5,1
1700000,28.6,1
1800000,27.9,1
2100000,19.2,1
2200000,19.0,1
2300000,19.3,1
2700000,27.7,1
3100000,22.1,1
3800000,22.5,1
3900000,22.9,1
4200000,22.4,1
4700000,33.8,1
5200000,19.9,1
5500000,20.8,1
5700000,23.8,1
6000000,19.6,1
6200000,19.0,1
6300000,20.9,1
6600000,19.1,1
6700000,17.8,1
6900000,19.2,1
7100000,48.5,1
7400000,17.0,1
7500000,24.8,1
7800000,20.0,1
8100000,20.4,1
8200000,19.4,1
8500000,20.2,1
8600000,19.7,1
8700000,18.8,1
8900000,19.9,1
9000000,21.4,1
9500000,28.5,1
9600000,31.3,1
9800000,22.4,1
10800000,40.7,1
11500000,20.2,1
11900000,19.5,1
12200000,20.1,1
12600000,18.9,1
13000000,28.6,1
13200000,18.0,1
13300000,20.2,1
13600000,17.9,1
13700000,19.6,1
13800000,19.1,1
