step,reward,seed
0,6.0,3
300000,8.5,3
400000,7.5,3
700000,6.1,3
800000,5.7,3
1000000,8.3,3
1900000,5.8,3
2000000,5.1,3
2100000,4.1,3
2600000,5.0,3
2700000,8.5,3
2800000,9.7,3
3200000,5.7,3
3600000,6.8,3
4200000,6.2,3
4500000,6.0,3
4600000,6.4,3
4700000,7.0,3
4900000,7.7,3
5000000,7.9,3
5200000,7.0,3
5300000,7.0,3
5900000,4.6,3
6000000,5.8,3
6300000,6.3,3
6400000,7.3,3
6700000,8.5,3
6800000,8.3,3
6900000,6.2,3
7000000,6.6,3
7300000,5.3,3
7700000,5.6,3
7900000,4.9,3
8000000,6.4,3
8200000,5.6,3
8500000,6.1,3
8900000,6.2,3
9000000,6.1,3
9100000,5.8,3
9300000,6.0,3
9400000,5.5,3
9500000,6.0,3
9800000,5.9,3
9900000,6.8,3
10200000,8.1,3
10400000,6.7,3
10700000,6.1,3
10800000,5.0,3
11000000,6.7,3
11200000,7.6,3
11600000,5.2,3
11800000,4.7,3
11900000,4.7,3
12100000,4.8,3
12200000,5.0,3
12400000,4.8,3
12600000,6.6,3
12700000,5.9,3
13200000,4.1,3
13300000,4.1,3
13800000,10.1,3
300000,3.7,2
400000,6.4,2
600000,4.7,2
800000,5.6,2
900000,4.8,2
1000000,5.6,2
1200000,7.1,2
1400000,6.6,2
1500000,6.8,2
2000000,5.9,2
2100000,5.4,2
2400000,6.6,2
2700000,4.7,2
2900000,7.4,2
3600000,4.8,2
3800000,6.2,2
3900000,5.3,2
4000000,5.3,2
4100000,6.1,2
4800000,5.2,2
4900000,6.6,2
5000000,5.9,2
5200000,5.9,2
5600000,7.3,2
6400000,8.4,2
6900000,7.2,2
7000000,6.8,2
7100000,8.6,2
7200000,6.5,2
7400000,4.8,2
8300000,5.5,2
8800000,6.4,2
8900000,9.6,2
9100000,9.8,2
9400000,7.3,2
9600000,7.8,2
9700000,8.7,2
10500000,8.8,2
10600000,7.9,2
10800000,5.7,2
11300000,5.7,2
11500000,7.2,2
11600000,8.3,2
12100000,5.2,2
12500000,5.7,2
12800000,8.7,2
12900000,8.8,2
13200000,6.0,2
13300000,6.0,2
13400000,7.0,2
13500000,6.2,2
13900000,5.8,2
0,6.9,1
400000,8.0,1
500000,6.4,1
900000,8.2,1
1200000,8.9,1
1800000,4.8,1
1900000,5.4,1
2000000,8.4,1
2100000,9.7,1
2500000,8.3,1
3000000,6.9,1
3200000,5.6,1
3300000,5.9,1
3500000,6.2,1
3600000,5.4,1
3700000,6.5,1
4000000,7.7,1
4200000,4.5,1
4800000,6.8,1
4900000,5.7,1
5200000,4.9,1
5500000,5.9,1
5700000,6.6,1
5900000,6.1,1
6200000,4.2,1
6500000,7.8,1
6600000,7.9,1
6700000,7.5,1
6900000,6.3,1
7500000,7.8,1
7700000,7.3,1
8000000,10.0,1
8500000,6.4,1
8600000,6.9,1
8900000,7.5,1
9200000,5.8,1
9600000,8.6,1
9700000,7.1,1
9900000,9.7,1
10000000,9.3,1
10200000,7.0,1
10500000,7.9,1
10600000,7.8,1
10700000,7.4,1
11200000,6.4,1
11600000,6.9,1
11700000,6.2,1
11800000,5.7,1
12000000,5.7,1
12800000,5.8,1
13000000,6.6,1
13300000,6.0,1
13700000,7.7,1
