step,reward,seed
0,9.0,1
300000,11.3,1
500000,7.3,1
900000,7.2,1
1100000,4.9,1
2600000,7.9,1
2900000,6.7,1
3100000,8.8,1
3200000,8.4,1
3500000,6.3,1
3800000,8.2,1
4400000,6.5,1
4600000,6.7,1
4700000,6.9,1
4800000,6.7,1
5200000,8.3,1
5400000,6.5,1
6000000,8.5,1
6300000,6.6,1
6400000,5.8,1
6500000,8.1,1
6700000,7.0,1
6800000,7.2,1
6900000,7.9,1
7300000,7.6,1
7400000,5.7,1
8000000,10.5,1
8100000,9.6,1
8400000,6.5,1
8800000,5.9,1
9500000,6.1,1
9700000,11.2,1
9800000,11.9,1
9900000,10.6,1
10200000,5.9,1
10700000,6.1,1
11200000,7.5,1
11300000,9.3,1
11500000,7.1,1
11600000,4.6,1
11700000,5.0,1
11900000,9.8,1
12000000,9.2,1
12100000,8.2,1
12400000,8.0,1
12600000,8.3,1
13100000,10.0,1
13200000,10.7,1
13400000,10.0,1
13700000,9.0,1
13800000,11.9,1
13900000,9.0,1
200000,3.8,2
500000,5.5,2
800000,6.0,2
900000,6.4,2
1100000,7.6,2
1200000,6.7,2
1300000,5.2,2
1800000,9.7,2
1900000,7.1,2
2000000,4.4,2
2300000,6.6,2
2900000,8.7,2
3100000,7.6,2
3200000,9.1,2
3500000,8.0,2
3700000,5.6,2
4100000,7.0,2
4400000,6.7,2
4600000,6.2,2
4700000,6.3,2
4900000,6.1,2
5200000,6.3,2
5700000,8.5,2
5800000,9.5,2
5900000,10.5,2
6100000,7.3,2
6200000,7.4,2
6300000,7.2,2
7400000,6.2,2
7600000,7.1,2
8000000,5.3,2
8800000,5.1,2
8900000,6.0,2
9300000,6.5,2
9500000,9.4,2
10200000,4.3,2
10700000,8.3,2
10800000,7.4,2
11100000,6.6,2
11600000,10.2,2
11700000,11.2,2
12500000,5.3,2
12600000,6.5,2
12800000,7.7,2
12900000,7.6,2
13000000,7.3,2
13600000,10.0,2
13700000,8.1,2
13900000,8.3,2
300000,6.4,3
500000,6.7,3
800000,7.1,3
1000000,7.1,3
1700000,6.7,3
1800000,6.7,3
2100000,7.5,3
2300000,7.5,3
2600000,7.8,3
2900000,8.9,3
3000000,9.5,3
3100000,10.3,3
3800000,7.1,3
4000000,7.0,3
4600000,9.0,3
4800000,7.6,3
4900000,5.3,3
5100000,8.8,3
6100000,6.7,3
6400000,7.8,3
6900000,7.0,3
7200000,7.8,3
7500000,7.4,3
7600000,6.5,3
7700000,6.1,3
8400000,8.5,3
8500000,5.9,3
9200000,8.6,3
9300000,7.4,3
9400000,7.3,3
9500000,6.8,3
9600000,6.2,3
10200000,6.5,3
10700000,7.9,3
10800000,6.8,3
11100000,6.9,3
11200000,6.4,3
11300000,6.5,3
11700000,6.0,3
12200000,6.2,3
12600000,7.1,3
13000000,5.5,3
13100000,5.9,3
13200000,5.4,3
13500000,7.1,3
13600000,7.9,3
