step,reward,seed
0,0.0,3
100000,338.4,3
200000,609.0,3
300000,713.6,3
400000,372.7,3
500000,797.4,3
600000,797.2,3
700000,751.4,3
800000,828.6,3
900000,808.1,3
1000000,807.6,3
1100000,850.5,3
1200000,856.4,3
1300000,852.9,3
1400000,831.6,3
1500000,818.3,3
1600000,851.0,3
1700000,835.2,3
1800000,868.9,3
1900000,847.6,3
2000000,841.9,3
2100000,851.0,3
2200000,858.9,3
2300000,864.2,3
2400000,863.4,3
2500000,865.2,3
2600000,789.2,3
2700000,712.2,3
2800000,862.3,3
2900000,853.7,3
3000000,853.4,3
3100000,858.0,3
3200000,848.1,3
3300000,855.1,3
3400000,836.6,3
3500000,851.8,3
3600000,869.8,3
3700000,866.0,3
3800000,858.3,3
3900000,863.6,3
0,20.3,1
100000,265.3,1
200000,211.5,1
300000,283.9,1
400000,561.9,1
500000,678.2,1
600000,774.2,1
700000,632.2,1
800000,737.0,1
900000,791.6,1
1000000,779.2,1
1100000,841.8,1
1200000,740.1,1
1300000,740.2,1
1400000,707.6,1
1500000,753.8,1
1600000,806.0,1
1700000,816.9,1
1800000,764.0,1
1900000,756.9,1
2000000,732.9,1
2100000,755.0,1
2200000,760.7,1
2300000,670.2,1
2400000,629.0,1
2500000,797.4,1
2600000,743.8,1
2700000,833.6,1
2800000,772.4,1
2900000,758.1,1
3000000,744.3,1
3100000,600.1,1
3200000,598.7,1
3300000,743.7,1
3400000,703.4,1
3500000,680.1,1
3600000,648.3,1
3700000,683.6,1
3800000,718.2,1
3900000,617.6,1
0,0.7,2
100000,381.1,2
200000,705.5,2
300000,715.3,2
400000,740.2,2
500000,779.0,2
600000,751.2,2
700000,717.1,2
800000,799.5,2
900000,721.6,2
1000000,687.3,2
1100000,723.1,2
1200000,762.8,2
1300000,672.4,2
1500000,300.2,2
1600000,347.7,2
1700000,587.1,2
1800000,663.4,2
1900000,647.4,2
2000000,409.3,2
2100000,391.5,2
2200000,478.2,2
2300000,793.4,2
2400000,819.6,2
2500000,572.7,2
2600000,485.2,2
2700000,579.9,2
2800000,557.3,2
2900000,553.3,2
3000000,267.6,2
3100000,347.7,2
3200000,349.0,2
3300000,750.4,2
3400000,305.4,2
3500000,339.8,2
3600000,338.6,2
3700000,347.6,2
3800000,589.3,2
