step,reward,seed
100000,358.2,3
200000,485.0,3
300000,590.4,3
400000,814.8,3
500000,900.2,3
600000,878.3,3
700000,813.0,3
800000,921.3,3
900000,943.7,3
1000000,922.4,3
1100000,924.3,3
1200000,955.4,3
1300000,897.2,3
1400000,931.6,3
1500000,933.1,3
1600000,869.4,3
1700000,960.7,3
1800000,920.2,3
1900000,918.7,3
2000000,922.2,3
2100000,917.7,3
2200000,961.3,3
2300000,942.2,3
2400000,943.5,3
2500000,932.3,3
2600000,912.2,3
2700000,970.3,3
2800000,891.2,3
2900000,852.2,3
3000000,936.8,3
3100000,913.3,3
3200000,930.1,3
3300000,878.4,3
3400000,918.3,3
3500000,935.0,3
3600000,962.9,3
3700000,934.4,3
3800000,955.0,3
3900000,823.5,3
0,0.0,1
100000,204.3,1
200000,764.7,1
300000,827.7,1
400000,863.5,1
500000,931.2,1
600000,900.0,1
700000,900.8,1
800000,880.6,1
900000,872.5,1
1000000,922.9,1
1100000,909.7,1
1200000,934.5,1
1300000,923.1,1
1400000,828.5,1
1500000,870.5,1
1600000,877.0,1
1700000,924.7,1
1800000,954.9,1
1900000,872.4,1
2000000,930.4,1
2100000,921.9,1
2200000,928.4,1
2300000,951.1,1
2400000,928.6,1
2500000,931.6,1
2600000,928.6,1
2700000,901.4,1
2800000,906.8,1
2900000,892.4,1
3000000,904.8,1
3100000,947.8,1
3300000,941.8,1
3400000,961.8,1
3500000,953.3,1
3600000,898.3,1
3700000,926.8,1
3800000,950.0,1
3900000,927.7,1
0,666.7,2
100000,122.5,2
200000,376.8,2
300000,642.5,2
400000,821.8,2
500000,910.2,2
600000,847.1,2
800000,871.6,2
900000,911.8,2
1000000,892.2,2
1100000,939.8,2
1300000,857.4,2
1400000,900.4,2
1500000,965.9,2
1600000,943.5,2
1700000,940.5,2
1800000,894.8,2
1900000,935.0,2
2000000,910.8,2
2100000,898.2,2
2200000,934.0,2
2300000,898.5,2
2400000,943.7,2
2500000,931.6,2
2600000,922.5,2
2700000,898.0,2
2800000,907.7,2
2900000,935.5,2
3000000,938.3,2
3200000,940.4,2
3300000,800.7,2
3400000,937.1,2
3500000,936.9,2
3600000,902.1,2
3700000,916.9,2
3800000,942.8,2
3900000,921.8,2
