step,reward,seed
0,84.3,3
100000,285.9,3
200000,266.5,3
300000,467.5,3
400000,680.2,3
500000,833.9,3
700000,895.5,3
800000,822.5,3
900000,915.8,3
1000000,783.5,3
1100000,822.6,3
1200000,875.5,3
1300000,890.2,3
1400000,909.1,3
1500000,884.0,3
1600000,937.0,3
1700000,942.6,3
1800000,821.6,3
1900000,952.5,3
2000000,916.7,3
2100000,875.8,3
2200000,918.6,3
2300000,903.3,3
2400000,935.4,3
2500000,921.2,3
2600000,858.2,3
2700000,907.9,3
2800000,886.6,3
2900000,854.6,3
3000000,901.7,3
3100000,926.5,3
3200000,954.5,3
3300000,926.6,3
3400000,896.3,3
3500000,921.4,3
3600000,937.4,3
3700000,911.4,3
3800000,934.3,3
3900000,948.9,3
0,0.0,1
100000,100.3,1
200000,310.9,1
300000,389.0,1
400000,879.2,1
500000,836.0,1
600000,845.5,1
700000,894.7,1
800000,814.1,1
900000,833.8,1
1000000,877.8,1
1100000,913.3,1
1200000,914.0,1
1300000,900.0,1
1400000,897.9,1
1500000,902.9,1
1600000,905.6,1
1700000,894.5,1
1800000,908.4,1
1900000,883.0,1
2000000,859.1,1
2100000,667.3,1
2200000,898.9,1
2300000,921.6,1
2400000,862.4,1
2600000,934.2,1
2700000,913.1,1
2900000,903.2,1
3000000,911.4,1
3100000,833.4,1
3200000,912.5,1
3300000,931.8,1
3400000,904.9,1
3500000,926.8,1
3600000,910.3,1
3700000,799.3,1
3800000,889.9,1
3900000,904.1,1
0,0.0,2
100000,183.3,2
200000,555.6,2
300000,844.5,2
400000,815.6,2
500000,743.1,2
600000,736.9,2
700000,873.8,2
800000,846.4,2
900000,887.0,2
1000000,794.9,2
1100000,868.2,2
1200000,906.8,2
1300000,869.6,2
1400000,923.5,2
1500000,892.4,2
1600000,896.9,2
1700000,909.1,2
1800000,912.7,2
1900000,900.3,2
2000000,917.0,2
2100000,830.9,2
2200000,958.9,2
2300000,895.3,2
2400000,820.5,2
2500000,803.6,2
2600000,873.2,2
2700000,896.6,2
2800000,876.6,2
2900000,917.0,2
3000000,902.6,2
3100000,916.3,2
3200000,918.0,2
3300000,939.3,2
3400000,939.9,2
3500000,932.3,2
3600000,911.6,2
3700000,907.3,2
3800000,912.7,2
3900000,927.7,2
