step,reward,seed
100000,97.8,2
200000,115.1,2
300000,412.1,2
400000,520.1,2
500000,654.8,2
600000,733.9,2
700000,731.7,2
800000,637.3,2
900000,703.6,2
1000000,766.0,2
1100000,684.2,2
1200000,645.1,2
1300000,780.5,2
1400000,720.3,2
1500000,782.7,2
1600000,732.2,2
1700000,709.5,2
1800000,689.3,2
1900000,593.9,2
2000000,791.2,2
2100000,808.4,2
2200000,794.8,2
2300000,757.2,2
2400000,764.4,2
2500000,798.9,2
2600000,826.2,2
2700000,748.5,2
2800000,773.9,2
2900000,776.7,2
3000000,684.6,2
3100000,789.1,2
3200000,811.6,2
3300000,732.1,2
3400000,816.5,2
3500000,808.5,2
3600000,836.4,2
3700000,763.2,2
3800000,805.9,2
3900000,822.8,2
100000,114.7,3
200000,281.6,3
300000,362.5,3
400000,543.3,3
500000,589.9,3
600000,666.6,3
700000,732.4,3
800000,744.7,3
900000,721.9,3
1000000,704.7,3
1100000,742.7,3
1200000,711.7,3
1300000,755.2,3
1400000,729.1,3
1500000,686.9,3
1600000,768.2,3
1700000,802.7,3
1800000,686.9,3
1900000,807.6,3
2000000,745.7,3
2100000,751.4,3
2200000,749.7,3
2300000,784.5,3
2400000,746.7,3
2500000,773.3,3
2600000,755.7,3
2700000,582.2,3
2800000,739.3,3
2900000,810.3,3
3000000,706.0,3
3100000,807.4,3
3200000,794.5,3
3300000,786.3,3
3400000,827.0,3
3500000,778.3,3
3600000,787.6,3
3800000,810.4,3
3900000,783.1,3
100000,152.3,1
200000,154.7,1
300000,531.0,1
400000,522.8,1
500000,561.0,1
600000,733.1,1
700000,623.0,1
800000,704.1,1
900000,716.8,1
1000000,748.4,1
1100000,774.9,1
1200000,752.0,1
1300000,778.7,1
1400000,788.7,1
1500000,766.5,1
1600000,769.8,1
1700000,763.8,1
1800000,717.6,1
1900000,762.7,1
2000000,768.2,1
2100000,774.5,1
2200000,753.0,1
2300000,735.4,1
2400000,743.3,1
2500000,812.2,1
2600000,772.3,1
2700000,726.0,1
2800000,781.0,1
2900000,765.5,1
3000000,759.6,1
3100000,778.6,1
3200000,803.7,1
3300000,734.0,1
3400000,796.6,1
3500000,742.6,1
3600000,789.0,1
3700000,788.6,1
3800000,761.2,1
3900000,804.1,1
