step,reward,seed
0,0.0,3
100000,192.0,3
200000,363.3,3
300000,442.1,3
400000,434.9,3
500000,449.0,3
600000,469.7,3
700000,469.1,3
800000,487.8,3
900000,500.9,3
1000000,472.6,3
1100000,499.0,3
1200000,545.0,3
1300000,599.1,3
1400000,664.2,3
1500000,554.5,3
1600000,678.5,3
1700000,703.6,3
1800000,596.0,3
1900000,615.5,3
2000000,670.3,3
2100000,576.0,3
2200000,524.4,3
2300000,634.8,3
2400000,641.3,3
2500000,693.3,3
2600000,494.3,3
2700000,642.4,3
2800000,659.7,3
2900000,652.2,3
3000000,560.3,3
3100000,639.0,3
3200000,650.6,3
3300000,671.4,3
3400000,663.1,3
3500000,597.5,3
3600000,652.2,3
3700000,664.2,3
3800000,620.7,3
3900000,712.2,3
100000,33.3,1
200000,378.9,1
400000,374.0,1
500000,416.6,1
600000,470.5,1
700000,403.4,1
800000,521.7,1
900000,553.5,1
1000000,476.6,1
1100000,448.0,1
1200000,553.7,1
1300000,489.4,1
1400000,564.0,1
1500000,589.3,1
1600000,615.9,1
1800000,569.8,1
1900000,474.2,1
2000000,586.0,1
2100000,572.5,1
2200000,634.0,1
2300000,660.6,1
2400000,659.6,1
2500000,626.0,1
2600000,613.2,1
2700000,565.2,1
2800000,652.4,1
2900000,608.0,1
3000000,656.6,1
3100000,674.2,1
3200000,620.7,1
3300000,594.0,1
3400000,591.2,1
3500000,593.5,1
3600000,642.3,1
3700000,691.4,1
3800000,476.1,1
3900000,459.2,1
0,0.1,2
100000,46.0,2
200000,76.5,2
300000,162.1,2
400000,246.1,2
500000,263.3,2
600000,256.9,2
700000,258.9,2
1000000,396.1,2
1200000,390.2,2
1300000,327.4,2
1400000,369.9,2
1500000,393.7,2
1600000,351.4,2
1700000,440.9,2
1800000,544.8,2
1900000,524.8,2
2000000,476.1,2
2100000,598.9,2
2200000,615.7,2
2300000,586.9,2
2500000,634.6,2
2600000,661.7,2
2700000,683.5,2
2800000,694.1,2
2900000,639.7,2
3000000,641.1,2
3100000,639.9,2
3200000,644.1,2
3300000,613.9,2
3400000,671.2,2
3500000,651.1,2
3600000,742.6,2
3700000,654.0,2
3800000,710.4,2
3900000,663.5,2
