step,reward,seed
0,0.0,3
100000,0.1,3
200000,27.1,3
300000,57.2,3
400000,105.0,3
500000,145.3,3
600000,166.0,3
700000,145.6,3
800000,180.4,3
900000,219.8,3
1000000,234.5,3
1200000,277.3,3
1300000,218.9,3
1400000,185.3,3
1500000,270.3,3
1600000,296.2,3
1700000,315.3,3
1800000,334.7,3
1900000,303.0,3
2100000,304.4,3
2200000,279.3,3
2300000,299.1,3
2400000,318.5,3
2500000,308.3,3
2600000,233.2,3
2700000,275.8,3
2800000,312.0,3
2900000,317.2,3
3000000,381.7,3
3100000,292.0,3
3200000,358.5,3
3300000,335.6,3
3400000,393.1,3
3500000,278.7,3
3600000,381.4,3
3700000,399.2,3
3800000,385.2,3
3900000,397.9,3
100000,0.0,2
200000,5.1,2
300000,42.4,2
400000,147.7,2
500000,180.9,2
600000,170.1,2
700000,192.0,2
800000,174.8,2
900000,196.3,2
1000000,168.7,2
1100000,182.2,2
1300000,177.8,2
1400000,207.2,2
1500000,213.6,2
1600000,193.6,2
1700000,204.8,2
1800000,216.2,2
1900000,208.8,2
2000000,246.3,2
2100000,271.1,2
2200000,277.9,2
2300000,266.9,2
2400000,271.5,2
2500000,238.6,2
2600000,260.3,2
2700000,248.4,2
2800000,255.2,2
2900000,259.6,2
3000000,245.3,2
3100000,222.6,2
3200000,219.6,2
3300000,202.9,2
3400000,254.3,2
3500000,245.1,2
3600000,198.7,2
3700000,133.4,2
3800000,267.8,2
3900000,246.6,2
0,0.0,1
100000,28.9,1
200000,121.3,1
300000,133.1,1
400000,148.3,1
500000,162.0,1
600000,137.9,1
700000,177.1,1
800000,170.2,1
900000,202.6,1
1000000,196.5,1
1100000,232.7,1
1200000,239.3,1
1300000,202.1,1
1400000,251.2,1
1500000,236.6,1
1600000,231.3,1
1700000,215.4,1
1800000,243.7,1
1900000,263.1,1
2000000,239.4,1
2100000,261.4,1
2200000,279.8,1
2300000,287.6,1
2400000,241.9,1
2500000,286.7,1
2600000,275.8,1
2700000,258.4,1
2800000,223.8,1
2900000,203.8,1
3000000,262.8,1
3100000,231.0,1
3200000,200.8,1
3300000,241.8,1
3400000,257.3,1
3600000,278.9,1
3700000,244.0,1
3800000,276.4,1
3900000,212.1,1
