step,reward,seed
0,7.2,3
100000,11.6,3
200000,237.2,3
300000,362.5,3
400000,414.6,3
500000,590.4,3
600000,701.7,3
700000,527.2,3
800000,795.9,3
900000,769.8,3
1000000,841.5,3
1100000,858.4,3
1300000,868.3,3
1400000,719.7,3
1500000,810.6,3
1600000,800.5,3
1700000,799.1,3
1800000,742.8,3
1900000,876.2,3
2000000,859.9,3
2100000,845.1,3
2200000,854.1,3
2300000,778.6,3
2400000,850.1,3
2500000,843.2,3
2600000,801.9,3
2700000,831.0,3
2800000,769.6,3
2900000,831.4,3
3000000,887.8,3
3200000,888.3,3
3300000,866.9,3
3400000,849.7,3
3500000,875.4,3
3600000,841.8,3
3700000,876.6,3
3800000,842.6,3
3900000,819.0,3
0,0.0,1
100000,394.0,1
200000,589.0,1
300000,644.8,1
400000,804.5,1
500000,822.9,1
600000,747.8,1
700000,825.8,1
800000,853.6,1
900000,844.9,1
1000000,862.1,1
1100000,852.3,1
1200000,801.9,1
1300000,829.4,1
1400000,850.2,1
1500000,840.3,1
1600000,743.0,1
1800000,677.2,1
1900000,907.7,1
2000000,825.3,1
2100000,824.9,1
2200000,873.9,1
2300000,848.9,1
2400000,896.4,1
2500000,809.5,1
2600000,860.2,1
2700000,844.7,1
2800000,888.7,1
2900000,783.3,1
3200000,858.7,1
3300000,880.6,1
3400000,869.8,1
3500000,832.0,1
3600000,831.2,1
3700000,883.3,1
3800000,853.3,1
3900000,903.4,1
100000,45.3,2
200000,115.6,2
300000,312.4,2
400000,357.6,2
500000,408.6,2
600000,501.3,2
700000,786.2,2
800000,787.7,2
900000,765.3,2
1000000,760.3,2
1100000,777.6,2
1300000,685.2,2
1400000,807.6,2
1500000,785.2,2
1600000,777.0,2
1700000,850.7,2
1800000,830.5,2
1900000,850.6,2
2000000,787.5,2
2100000,685.3,2
2200000,665.3,2
2300000,781.9,2
2400000,866.5,2
2500000,828.0,2
2600000,882.5,2
2700000,863.4,2
2800000,874.2,2
2900000,810.6,2
3000000,761.6,2
3100000,826.5,2
3200000,842.9,2
3300000,819.0,2
3400000,778.8,2
3500000,847.6,2
3600000,857.1,2
3700000,804.4,2
3800000,753.2,2
3900000,854.7,2
