step,reward,seed
0,1.1,3
100000,1.2,3
200000,0.9,3
300000,0.9,3
400000,0.7,3
600000,0.7,3
1300000,0.3,3
1500000,0.4,3
1700000,0.7,3
1800000,0.7,3
1900000,0.4,3
2200000,0.9,3
3000000,33.8,3
3200000,55.1,3
3600000,78.3,3
4100000,104.2,3
4500000,114.6,3
4600000,115.5,3
4900000,126.6,3
5000000,138.0,3
5300000,132.1,3
5500000,155.5,3
5700000,182.4,3
5800000,178.2,3
6300000,257.8,3
6400000,209.6,3
6700000,268.0,3
6900000,255.4,3
7100000,262.5,3
7200000,288.1,3
7300000,302.5,3
7900000,322.2,3
8100000,271.2,3
8400000,326.4,3
9000000,335.7,3
9100000,358.2,3
9200000,372.6,3
10100000,395.5,3
10200000,363.6,3
10300000,394.6,3
10600000,455.5,3
10800000,438.1,3
11100000,413.9,3
11300000,312.9,3
11800000,350.1,3
12000000,319.7,3
12200000,335.0,3
12500000,313.5,3
12700000,434.7,3
12900000,441.3,3
13300000,379.6,3
13500000,415.2,3
13800000,381.3,3
13900000,381.0,3
300000,0.7,1
400000,0.5,1
600000,0.7,1
800000,0.9,1
1000000,0.8,1
1400000,1.1,1
2000000,0.8,1
2200000,0.8,1
2600000,1.1,1
2700000,1.1,1
2800000,0.9,1
2900000,0.8,1
3000000,0.9,1
3300000,0.7,1
3800000,33.4,1
4700000,83.2,1
4900000,95.0,1
5000000,101.9,1
5500000,117.7,1
5800000,118.3,1
5900000,118.0,1
6400000,119.4,1
6500000,114.7,1
6600000,128.7,1
6700000,145.5,1
6900000,148.5,1
7000000,138.4,1
7400000,173.9,1
7500000,182.6,1
8400000,212.7,1
8600000,260.7,1
9100000,326.8,1
9500000,320.2,1
10200000,370.2,1
10300000,337.5,1
10400000,296.8,1
10600000,373.1,1
10700000,355.4,1
10800000,372.7,1
11200000,262.9,1
11300000,239.7,1
11500000,320.7,1
11700000,373.7,1
11800000,364.7,1
12000000,399.1,1
13000000,406.3,1
13700000,339.9,1
0,0.6,2
300000,0.9,2
500000,0.8,2
600000,0.7,2
1400000,0.5,2
2000000,1.0,2
2100000,0.7,2
2300000,0.6,2
2500000,0.8,2
3000000,1.0,2
3400000,0.9,2
3600000,3.8,2
4300000,74.3,2
4400000,75.8,2
4700000,85.2,2
4800000,85.0,2
5000000,86.8,2
5500000,98.8,2
5600000,104.0,2
5700000,92.7,2
6300000,126.5,2
6500000,154.3,2
6600000,147.2,2
6900000,199.1,2
7200000,187.9,2
7900000,261.6,2
8000000,240.2,2
8100000,228.9,2
8300000,227.3,2
8400000,233.8,2
8700000,253.0,2
8800000,273.7,2
8900000,314.9,2
10000000,311.7,2
10500000,395.9,2
10600000,390.8,2
10700000,366.0,2
11000000,429.6,2
11900000,384.5,2
12100000,353.5,2
12400000,370.7,2
12500000,371.1,2
12600000,348.6,2
12800000,391.9,2
13300000,452.4,2
13500000,372.7,2
13700000,393.6,2
