step,reward,seed
200000,5.3,1
400000,5.6,1
700000,4.2,1
800000,4.3,1
900000,4.2,1
1200000,5.7,1
2100000,4.5,1
2200000,4.7,1
2300000,4.7,1
3000000,6.5,1
3200000,5.2,1
3300000,5.4,1
3500000,28.7,1
4000000,213.5,1
4600000,328.9,1
4700000,312.7,1
5200000,343.4,1
6500000,479.6,1
6600000,531.4,1
7400000,602.5,1
7500000,599.4,1
7700000,631.6,1
7800000,655.0,1
8100000,618.2,1
8300000,625.3,1
8500000,526.3,1
8600000,604.3,1
8800000,687.0,1
8900000,633.4,1
9400000,620.5,1
9600000,669.6,1
9800000,532.0,1
10000000,622.3,1
10400000,678.2,1
10800000,684.3,1
10900000,696.4,1
11100000,759.9,1
11200000,716.3,1
11400000,717.7,1
11500000,718.4,1
11800000,678.9,1
12100000,648.3,1
12300000,597.4,1
12900000,678.5,1
13000000,668.9,1
13400000,786.7,1
13500000,736.6,1
13700000,808.7,1
200000,3.7,3
700000,6.1,3
900000,3.9,3
1100000,4.4,3
1500000,5.2,3
1700000,3.7,3
1800000,4.4,3
1900000,4.0,3
2100000,3.8,3
2200000,4.2,3
2800000,5.9,3
2900000,13.3,3
3000000,37.9,3
3300000,173.4,3
4000000,321.0,3
4300000,332.6,3
4900000,447.8,3
5300000,462.8,3
5900000,675.6,3
6000000,666.9,3
6600000,619.7,3
6700000,567.9,3
6800000,559.5,3
7000000,638.5,3
7200000,563.1,3
7400000,565.3,3
7500000,562.2,3
7900000,339.5,3
8100000,684.5,3
8800000,731.8,3
9100000,694.4,3
9300000,611.5,3
10100000,723.9,3
10200000,780.1,3
10300000,801.0,3
10600000,786.8,3
10900000,774.6,3
11000000,772.0,3
11200000,787.3,3
11500000,798.0,3
11700000,788.5,3
11900000,767.5,3
12300000,859.4,3
13900000,760.3,3
0,7.6,2
200000,5.2,2
300000,5.0,2
500000,4.1,2
1200000,5.7,2
1300000,5.2,2
1700000,4.3,2
2100000,5.3,2
2500000,5.1,2
2600000,4.9,2
3200000,18.8,2
3600000,181.6,2
4200000,297.5,2
4400000,277.8,2
4500000,353.1,2
4600000,365.8,2
4700000,424.2,2
4900000,386.6,2
5000000,390.9,2
5200000,385.2,2
5300000,404.8,2
5900000,493.9,2
6000000,591.2,2
6100000,561.6,2
6400000,589.1,2
6900000,492.0,2
7600000,700.8,2
8100000,639.2,2
8300000,649.7,2
8500000,751.4,2
8800000,732.3,2
9100000,729.6,2
9200000,718.5,2
9700000,681.1,2
9800000,721.5,2
9900000,728.0,2
10000000,680.9,2
10200000,643.2,2
10300000,643.6,2
10700000,674.6,2
11000000,671.2,2
11300000,694.8,2
11500000,565.9,2
11600000,669.1,2
11900000,717.5,2
12100000,723.4,2
12300000,780.0,2
12500000,748.2,2
12600000,660.3,2
13000000,673.2,2
13200000,680.7,2
13300000,719.8,2
13600000,549.2,2
13700000,621.5,2
