step,reward,seed
100000,0.6,2
200000,1.3,2
300000,1.5,2
400000,1.3,2
500000,1.0,2
600000,0.7,2
700000,1.4,2
1000000,1.1,2
1300000,1.5,2
1400000,1.4,2
1500000,1.1,2
1700000,1.3,2
2000000,1.6,2
2100000,1.8,2
2200000,1.1,2
2300000,1.7,2
2400000,2.2,2
2500000,1.9,2
2600000,1.5,2
2900000,3.0,2
3200000,30.0,2
3300000,44.0,2
4100000,244.6,2
4500000,339.7,2
4600000,371.5,2
4900000,416.3,2
5400000,435.8,2
5600000,496.8,2
6200000,418.6,2
6300000,375.4,2
6400000,538.1,2
6600000,580.0,2
7000000,593.4,2
7100000,722.5,2
7300000,652.5,2
7400000,678.1,2
7500000,728.7,2
7600000,717.1,2
7800000,534.3,2
8000000,703.7,2
8100000,726.5,2
8200000,664.2,2
8400000,755.9,2
8700000,704.8,2
9000000,699.0,2
9100000,666.9,2
9200000,643.5,2
9400000,682.3,2
9700000,637.5,2
9800000,727.0,2
9900000,781.4,2
10000000,716.4,2
10200000,660.9,2
10400000,720.4,2
10500000,686.3,2
10700000,735.2,2
10800000,821.5,2
11000000,706.4,2
11100000,658.3,2
11200000,664.2,2
300000,0.1,1
1100000,1.9,1
1300000,1.7,1
1600000,1.2,1
1900000,1.8,1
2200000,1.7,1
2700000,1.7,1
2800000,1.2,1
3000000,4.0,1
3500000,206.1,1
3600000,200.2,1
3700000,224.6,1
4000000,300.5,1
4100000,296.2,1
4300000,335.6,1
4400000,344.2,1
4800000,398.3,1
5100000,366.2,1
5200000,379.3,1
5500000,375.4,1
5600000,401.3,1
5700000,419.8,1
6200000,521.9,1
6700000,680.5,1
6800000,626.4,1
6900000,595.3,1
7100000,662.8,1
7400000,731.5,1
7600000,613.1,1
7900000,565.3,1
8000000,633.7,1
8700000,746.6,1
8800000,733.0,1
9000000,718.0,1
9100000,773.7,1
9600000,836.1,1
10000000,739.9,1
10200000,650.3,1
10400000,831.2,1
11000000,837.4,1
11300000,827.9,1
11400000,801.5,1
11700000,862.8,1
12000000,792.4,1
12600000,720.5,1
12800000,840.4,1
13200000,694.5,1
13800000,852.9,1
500000,0.9,3
1700000,0.8,3
1900000,1.3,3
2000000,1.5,3
2100000,1.3,3
2400000,1.2,3
2500000,1.2,3
3000000,5.1,3
3100000,39.9,3
3200000,75.9,3
3300000,92.5,3
3700000,234.5,3
3900000,221.4,3
4500000,299.4,3
4600000,300.1,3
4800000,355.8,3
5200000,283.6,3
5600000,387.0,3
5900000,436.0,3
6000000,497.3,3
6300000,386.4,3
6500000,504.8,3
6600000,534.6,3
6700000,564.3,3
7100000,608.2,3
7200000,659.8,3
7600000,639.4,3
7800000,626.9,3
8000000,742.5,3
8400000,697.1,3
8600000,734.4,3
9700000,727.3,3
10100000,715.6,3
10200000,653.7,3
10300000,635.4,3
10400000,706.6,3
10500000,705.1,3
10600000,717.6,3
11100000,557.0,3
11300000,636.5,3
11700000,842.4,3
12000000,725.7,3
12100000,735.7,3
12400000,728.0,3
12600000,803.3,3
12700000,838.8,3
12800000,753.7,3
12900000,754.4,3
13200000,736.6,3
13600000,829.3,3
13700000,789.8,3
13800000,740.8,3
13900000,796.7,3
