step,success,seed
0,0.0,3
300000,0.1,3
400000,0.3,3
500000,0.5,3
600000,0.2,3
700000,0.0,3
800000,0.1,3
900000,0.1,3
1000000,0.0,3
1100000,0.3,3
1300000,0.2,3
1400000,0.0,3
1500000,0.0,3
1600000,0.0,3
1700000,0.1,3
1800000,0.0,3
1900000,0.1,3
2000000,0.0,3
2100000,0.1,3
2200000,0.2,3
2300000,0.2,3
2400000,0.4,3
2500000,0.1,3
2600000,0.1,3
2700000,0.3,3
2800000,0.0,3
2900000,0.3,3
3000000,0.5,3
3100000,0.0,3
3200000,0.03,3
3300000,0.0,3
3400000,0.0,3
3500000,0.1,3
3600000,0.0,3
3700000,0.0,3
3800000,0.0,3
4000000,0.2,3
100000,0.0,2
300000,0.0,2
400000,0.0,2
500000,0.0,2
600000,0.3,2
700000,0.1,2
800000,0.6,2
900000,0.3,2
1000000,0.5,2
1100000,0.4,2
1200000,0.3,2
1300000,0.2,2
1400000,0.3,2
1500000,0.55,2
1600000,0.45,2
1700000,0.5,2
1800000,0.3,2
1900000,0.4,2
2000000,0.3,2
2100000,0.3,2
2200000,0.7,2
2300000,0.4,2
2400000,0.4,2
2500000,0.4,2
2600000,0.8,2
2700000,0.75,2
2800000,0.5,2
2900000,0.0,2
3000000,0.35,2
3100000,0.9,2
3200000,0.6,2
3300000,0.3,2
3500000,0.6,2
3600000,0.3,2
3700000,0.5,2
3800000,0.1,2
3900000,0.6,2
4000000,0.3,2
100000,0.0,1
200000,0.2,1
300000,0.2,1
400000,0.4,1
500000,0.15,1
600000,0.1,1
700000,0.0,1
800000,0.15,1
900000,0.25,1
1000000,0.1,1
1100000,0.75,1
1200000,0.1,1
1300000,0.1,1
1400000,0.2,1
1500000,0.7,1
1600000,0.4,1
1700000,0.25,1
1800000,0.5,1
1900000,0.1,1
2000000,0.2,1
2100000,0.2,1
2200000,0.1,1
2300000,0.4,1
2400000,0.1,1
2500000,0.0,1
2600000,0.37,1
2700000,0.1,1
2800000,0.2,1
2900000,0.1,1
3000000,0.25,1
3100000,0.07,1
3200000,0.2,1
3300000,0.6,1
3500000,0.15,1
3600000,0.2,1
3700000,0.2,1
3800000,0.4,1
3900000,0.3,1
