step,success,seed
0,0.0,3
100000,0.6,3
200000,0.98,3
300000,0.55,3
400000,0.7,3
500000,0.4,3
600000,0.55,3
700000,0.55,3
800000,0.35,3
900000,0.7,3
1000000,0.35,3
1100000,0.55,3
1200000,0.7,3
1300000,0.57,3
1400000,0.45,3
1500000,0.7,3
1600000,0.45,3
1700000,1.0,3
1800000,0.6,3
1900000,0.8,3
2000000,0.7,3
0,0.0,2
100000,0.7,2
200000,1.0,2
300000,0.8,2
400000,0.8,2
500000,0.7,2
600000,0.8,2
700000,0.75,2
800000,0.8,2
900000,0.85,2
1000000,0.8,2
1100000,0.75,2
1200000,0.7,2
1300000,0.4,2
1400000,0.43,2
1500000,0.8,2
1600000,0.6,2
1700000,0.15,2
1800000,0.9,2
1900000,1.0,2
2000000,0.7,2
0,0.0,1
100000,0.7,1
200000,0.9,1
300000,0.9,1
400000,1.0,1
500000,0.7,1
600000,0.4,1
700000,1.0,1
800000,0.6,1
900000,0.9,1
1000000,0.95,1
1100000,0.75,1
1200000,0.67,1
1300000,0.7,1
1400000,0.87,1
1500000,0.8,1
1600000,0.8,1
1700000,0.9,1
1800000,0.7,1
1900000,0.5,1
2000000,0.6,1
