step,success,seed
0,0.0,3
100000,1.0,3
200000,0.1,3
300000,0.8,3
400000,0.17,3
500000,0.55,3
600000,0.82,3
700000,0.93,3
800000,1.0,3
900000,0.3,3
1000000,0.47,3
1100000,0.05,3
1200000,0.8,3
1300000,0.8,3
1400000,0.45,3
1500000,0.43,3
1600000,0.6,3
1700000,0.65,3
1800000,0.9,3
1900000,1.0,3
2000000,1.0,3
0,0.0,2
100000,1.0,2
200000,0.65,2
300000,0.97,2
400000,1.0,2
500000,0.55,2
600000,0.7,2
700000,1.0,2
800000,0.73,2
900000,0.67,2
1000000,0.9,2
1100000,0.4,2
1200000,0.6,2
1300000,1.0,2
1400000,0.8,2
1500000,0.83,2
1600000,1.0,2
1700000,0.8,2
1800000,1.0,2
1900000,1.0,2
2000000,0.8,2
0,0.0,1
100000,0.9,1
200000,1.0,1
300000,0.67,1
400000,0.97,1
500000,0.8,1
600000,0.93,1
700000,0.9,1
800000,0.9,1
900000,1.0,1
1000000,1.0,1
1100000,1.0,1
1200000,0.9,1
1300000,1.0,1
1400000,0.75,1
1500000,0.65,1
1600000,0.8,1
1700000,0.92,1
1800000,0.9,1
1900000,1.0,1
2000000,1.0,1
