step,success,seed
0,0.0,3
100000,0.0,3
200000,0.0,3
300000,0.33,3
400000,0.05,3
500000,0.0,3
600000,0.4,3
700000,0.2,3
800000,0.37,3
900000,0.3,3
1000000,0.2,3
1100000,0.4,3
1200000,0.2,3
1300000,0.05,3
1400000,0.1,3
1500000,0.2,3
1600000,0.1,3
1700000,0.27,3
1800000,0.27,3
1900000,0.0,3
2000000,0.05,3
0,0.0,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,0.0,2
500000,0.82,2
600000,0.73,2
700000,0.07,2
800000,0.2,2
900000,0.15,2
1000000,0.3,2
1100000,0.2,2
1200000,0.25,2
1300000,0.35,2
1400000,0.35,2
1500000,0.25,2
1600000,0.57,2
1700000,0.2,2
1800000,0.1,2
1900000,0.55,2
2000000,0.3,2
0,0.0,1
100000,0.05,1
200000,0.37,1
300000,0.5,1
400000,0.35,1
500000,0.45,1
600000,0.1,1
700000,0.17,1
800000,0.05,1
900000,0.35,1
1000000,0.27,1
1100000,0.35,1
1200000,0.2,1
1300000,0.35,1
1400000,0.4,1
1500000,0.57,1
1600000,0.75,1
1700000,0.6,1
1800000,0.8,1
1900000,0.35,1
2000000,0.6,1
