step,success,seed
100000,0.95,3
200000,0.9,3
300000,0.95,3
400000,0.8,3
500000,0.75,3
600000,0.7,3
700000,0.7,3
800000,0.65,3
900000,0.9,3
1000000,0.57,3
1100000,0.9,3
1200000,0.9,3
1300000,0.8,3
1400000,0.75,3
1500000,0.3,3
1600000,0.65,3
1700000,1.0,3
1800000,0.77,3
1900000,0.65,3
2000000,0.7,3
100000,0.7,2
200000,0.9,2
300000,0.5,2
400000,0.8,2
500000,0.6,2
600000,0.97,2
700000,0.6,2
800000,0.75,2
900000,0.9,2
1000000,0.9,2
1100000,0.45,2
1200000,0.5,2
1300000,0.75,2
1400000,0.6,2
1500000,0.8,2
1600000,0.28,2
1700000,0.8,2
1800000,0.7,2
1900000,0.85,2
2000000,0.73,2
0,0.0,1
100000,0.5,1
200000,0.55,1
300000,0.8,1
400000,0.8,1
500000,0.6,1
600000,1.0,1
700000,0.85,1
800000,0.7,1
900000,0.82,1
1000000,0.83,1
1100000,0.85,1
1200000,0.4,1
1300000,0.45,1
1400000,0.75,1
1500000,0.63,1
1600000,0.93,1
1700000,1.0,1
1800000,0.52,1
1900000,0.75,1
2000000,0.87,1
