step,success,seed
0,0.0,3
100000,0.14,3
200000,0.43,3
300000,0.3,3
400000,0.03,3
500000,0.75,3
600000,0.23,3
700000,0.45,3
800000,0.35,3
900000,0.5,3
1000000,0.47,3
1100000,0.25,3
1200000,0.9,3
1300000,0.8,3
1400000,0.5,3
1500000,0.55,3
1600000,0.75,3
1700000,0.45,3
1800000,0.53,3
1900000,0.8,3
2000000,0.75,3
0,0.0,1
100000,0.0,1
200000,0.4,1
300000,0.2,1
400000,0.1,1
500000,0.07,1
600000,0.05,1
700000,0.47,1
800000,0.85,1
900000,0.35,1
1000000,0.6,1
1100000,0.8,1
1200000,0.6,1
1300000,0.5,1
1400000,0.67,1
1500000,0.85,1
1600000,0.9,1
1700000,0.97,1
1800000,0.6,1
1900000,0.5,1
2000000,0.3,1
100000,0.05,2
200000,0.15,2
300000,0.1,2
400000,0.5,2
500000,0.47,2
600000,0.2,2
700000,0.45,2
800000,0.5,2
900000,0.14,2
1000000,0.4,2
1100000,0.1,2
1200000,0.2,2
1300000,0.15,2
1400000,0.85,2
1500000,0.3,2
1600000,0.35,2
1700000,0.45,2
1800000,0.6,2
1900000,0.5,2
2000000,0.0,2
