step,success,seed
0,0.0,3
100000,0.72,3
200000,0.55,3
300000,0.45,3
400000,0.6,3
500000,0.65,3
600000,0.75,3
700000,0.7,3
800000,0.65,3
900000,0.4,3
1000000,0.7,3
1100000,0.8,3
1200000,0.7,3
1300000,0.93,3
1400000,0.6,3
1500000,0.65,3
1600000,0.6,3
1700000,0.87,3
1800000,0.45,3
1900000,0.75,3
2000000,0.5,3
0,0.0,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,0.45,2
500000,0.57,2
600000,0.75,2
700000,0.5,2
800000,0.3,2
900000,0.55,2
1000000,0.5,2
1100000,0.37,2
1200000,0.35,2
1300000,0.55,2
1400000,0.25,2
1500000,0.5,2
1600000,1.0,2
1700000,0.87,2
1800000,0.5,2
1900000,0.85,2
2000000,0.5,2
0,0.0,1
100000,0.7,1
200000,0.9,1
300000,0.37,1
400000,0.5,1
500000,0.55,1
600000,0.9,1
700000,0.5,1
800000,0.7,1
900000,1.0,1
1000000,0.77,1
1100000,0.3,1
1200000,0.53,1
1300000,0.7,1
1400000,0.65,1
1500000,0.77,1
1600000,0.5,1
1700000,0.45,1
1800000,0.56,1
1900000,0.45,1
2000000,0.87,1
