step,success,seed
0,0.0,3
100000,0.05,3
200000,0.15,3
300000,0.13,3
400000,0.18,3
500000,0.0,3
600000,0.1,3
700000,0.2,3
800000,0.2,3
900000,0.27,3
1000000,0.0,3
1100000,0.1,3
1200000,0.0,3
1300000,0.5,3
1400000,0.0,3
1500000,0.27,3
1600000,0.1,3
1700000,0.1,3
1800000,0.0,3
1900000,0.03,3
2000000,0.0,3
0,0.0,1
100000,0.27,1
200000,0.0,1
300000,0.0,1
400000,0.0,1
500000,0.35,1
600000,0.3,1
700000,0.17,1
800000,0.05,1
900000,0.2,1
1000000,0.33,1
1100000,0.0,1
1200000,0.1,1
1300000,0.02,1
1400000,0.2,1
1500000,0.05,1
1600000,0.2,1
1700000,0.17,1
1800000,0.38,1
1900000,0.07,1
2000000,0.0,1
0,0.0,2
100000,0.0,2
200000,0.15,2
300000,0.1,2
400000,0.3,2
500000,0.65,2
600000,0.2,2
700000,0.0,2
800000,0.15,2
900000,0.35,2
1000000,0.1,2
1100000,0.25,2
1200000,0.1,2
1300000,0.35,2
1400000,0.4,2
1500000,0.1,2
1600000,0.03,2
1700000,0.0,2
1800000,0.1,2
1900000,0.0,2
2000000,0.0,2
