step,success,seed
0,0.0,3
100000,0.3,3
200000,0.63,3
300000,0.75,3
400000,0.2,3
500000,0.0,3
600000,0.8,3
700000,1.0,3
800000,0.25,3
900000,0.65,3
1000000,0.07,3
1100000,0.02,3
1200000,0.15,3
1300000,0.13,3
1400000,0.27,3
1500000,0.23,3
1600000,0.2,3
1700000,0.1,3
1800000,0.22,3
1900000,0.2,3
2000000,0.1,3
0,0.0,2
100000,0.65,2
200000,0.9,2
300000,0.52,2
400000,0.0,2
500000,0.6,2
600000,0.3,2
700000,0.1,2
800000,0.65,2
900000,0.8,2
1000000,0.73,2
1100000,0.1,2
1200000,0.0,2
1300000,0.2,2
1400000,0.55,2
1500000,0.5,2
1600000,0.0,2
1700000,0.3,2
1800000,0.5,2
1900000,0.1,2
2000000,0.0,2
0,0.0,1
100000,0.8,1
200000,0.8,1
300000,0.87,1
400000,0.55,1
500000,0.38,1
600000,0.2,1
700000,0.0,1
800000,0.37,1
900000,0.3,1
1000000,0.7,1
1100000,0.45,1
1200000,0.0,1
1300000,0.5,1
1400000,0.28,1
1500000,0.5,1
1600000,0.57,1
1700000,0.9,1
1800000,0.3,1
1900000,0.55,1
2000000,0.0,1
