step,reward,seed
0,142.8,3
100000,750.7,3
200000,810.0,3
300000,794.4,3
400000,767.6,3
500000,815.3,3
600000,817.8,3
700000,805.6,3
800000,788.5,3
900000,789.2,3
1000000,834.1,3
1100000,846.3,3
1200000,797.1,3
1300000,791.7,3
1400000,839.6,3
1500000,787.4,3
1600000,815.7,3
1700000,804.3,3
1800000,850.9,3
2000000,831.8,3
2100000,800.7,3
2200000,806.4,3
2300000,804.9,3
2400000,835.4,3
2500000,818.7,3
2600000,822.2,3
2700000,811.0,3
2800000,835.9,3
2900000,804.6,3
3000000,816.7,3
3100000,801.6,3
3200000,799.5,3
3300000,788.7,3
3400000,862.9,3
3500000,821.1,3
3700000,800.1,3
3800000,785.5,3
3900000,779.3,3
0,111.6,1
100000,789.5,1
200000,839.1,1
300000,818.3,1
400000,811.0,1
500000,827.3,1
600000,835.0,1
700000,812.6,1
800000,836.2,1
900000,836.2,1
1000000,798.2,1
1100000,838.1,1
1200000,847.5,1
1300000,846.8,1
1400000,799.4,1
1500000,782.6,1
1600000,851.6,1
1700000,821.1,1
1800000,819.6,1
1900000,789.3,1
2000000,806.1,1
2100000,825.5,1
2200000,860.4,1
2300000,802.8,1
2400000,826.7,1
2500000,848.5,1
2600000,843.9,1
2700000,850.2,1
2800000,806.8,1
2900000,780.6,1
3000000,822.7,1
3100000,845.1,1
3200000,830.9,1
3300000,841.4,1
3400000,835.2,1
3500000,801.3,1
3600000,763.1,1
3700000,833.6,1
3800000,834.4,1
3900000,798.1,1
100000,785.7,2
200000,856.3,2
300000,814.9,2
400000,834.3,2
500000,807.9,2
600000,789.1,2
700000,800.7,2
800000,843.0,2
900000,801.4,2
1000000,829.7,2
1100000,781.6,2
1200000,839.1,2
1300000,779.2,2
1400000,803.2,2
1500000,776.5,2
1700000,808.8,2
1800000,781.8,2
1900000,813.2,2
2000000,815.3,2
2100000,833.8,2
2200000,817.6,2
2300000,818.7,2
2400000,810.4,2
2500000,833.6,2
2600000,834.9,2
2700000,805.8,2
2800000,816.7,2
2900000,817.1,2
3000000,814.6,2
3100000,827.6,2
3200000,830.3,2
3300000,821.6,2
3400000,793.0,2
3500000,770.9,2
3600000,832.7,2
3700000,792.1,2
3900000,838.0,2
