step,reward,seed
100000,829.1,3
200000,738.4,3
300000,822.6,3
400000,829.4,3
500000,773.2,3
600000,776.6,3
700000,815.0,3
800000,815.2,3
900000,787.7,3
1000000,786.4,3
1100000,865.7,3
1200000,819.4,3
1300000,810.8,3
1400000,823.6,3
1500000,763.1,3
1700000,824.2,3
1800000,860.6,3
1900000,896.4,3
2000000,801.4,3
2100000,807.9,3
2200000,838.8,3
2300000,810.7,3
2400000,754.2,3
2500000,717.0,3
2600000,827.2,3
2700000,811.5,3
2800000,827.9,3
2900000,767.4,3
3000000,721.1,3
3100000,809.4,3
3200000,842.0,3
3400000,821.3,3
3500000,811.6,3
3600000,819.3,3
3700000,801.9,3
3800000,813.5,3
3900000,789.6,3
0,0.0,1
100000,457.1,1
200000,805.1,1
300000,797.0,1
400000,649.1,1
500000,700.4,1
600000,769.0,1
700000,744.7,1
800000,817.5,1
900000,819.6,1
1000000,782.4,1
1200000,801.0,1
1300000,865.7,1
1400000,737.1,1
1500000,831.8,1
1600000,837.1,1
1700000,808.6,1
1800000,776.6,1
1900000,817.0,1
2000000,812.8,1
2100000,810.2,1
2200000,815.3,1
2300000,848.6,1
2400000,804.8,1
2500000,766.9,1
2600000,841.2,1
2700000,845.9,1
2800000,781.7,1
2900000,806.2,1
3000000,852.6,1
3100000,794.9,1
3200000,786.3,1
3300000,813.4,1
3400000,810.8,1
3500000,838.5,1
3600000,705.9,1
3700000,731.8,1
3800000,838.5,1
3900000,819.8,1
0,0.0,2
100000,811.7,2
200000,655.7,2
300000,783.2,2
400000,647.4,2
500000,746.1,2
600000,724.4,2
700000,748.7,2
800000,827.6,2
900000,825.5,2
1000000,862.0,2
1100000,769.7,2
1200000,750.5,2
1300000,763.1,2
1400000,731.2,2
1500000,778.5,2
1600000,804.9,2
1700000,809.4,2
1800000,788.0,2
1900000,817.8,2
2000000,806.7,2
2100000,798.1,2
2400000,824.7,2
2500000,874.0,2
2600000,827.7,2
2700000,790.2,2
2800000,782.3,2
3000000,760.2,2
3100000,851.1,2
3200000,797.7,2
3300000,741.4,2
3400000,817.2,2
3500000,818.9,2
3600000,816.5,2
3700000,785.3,2
3900000,816.9,2
