step,success,seed
0,0.0,1
200000,0.0,1
300000,0.0,1
400000,0.0,1
500000,0.0,1
600000,0.0,1
700000,0.0,1
900000,0.0,1
1000000,0.0,1
1100000,0.0,1
1200000,0.0,1
1300000,0.0,1
1500000,0.0,1
1600000,0.0,1
1700000,0.0,1
1900000,0.0,1
2000000,0.0,1
2100000,0.0,1
2200000,0.0,1
2400000,0.0,1
2500000,0.0,1
2600000,0.0,1
2700000,0.0,1
2800000,0.0,1
2900000,0.0,1
3000000,0.0,1
3100000,0.0,1
3200000,0.0,1
3300000,0.0,1
3400000,0.0,1
3500000,0.0,1
3600000,0.0,1
3700000,0.0,1
3800000,0.0,1
3900000,0.0,1
4100000,0.0,1
4200000,0.0,1
4300000,0.0,1
4400000,0.0,1
4600000,0.0,1
4700000,0.0,1
4800000,0.0,1
5000000,0.0,1
10000000,0.0,1
200000,0.0,3
300000,0.0,3
800000,0.0,3
1100000,0.0,3
1600000,0.0,3
1900000,0.0,3
2100000,0.0,3
3100000,0.0,3
3500000,0.0,3
3900000,0.0,3
4100000,0.0,3
4400000,0.0,3
4500000,0.0,3
4800000,0.0,3
5000000,0.0,3
5300000,0.0,3
5600000,0.0,3
6000000,0.0,3
6800000,0.0,3
6900000,0.0,3
7100000,0.0,3
7200000,0.0,3
7300000,0.0,3
7500000,0.0,3
7600000,0.0,3
7900000,0.0,3
8100000,0.0,3
8400000,0.0,3
8500000,0.0,3
9000000,0.0,3
9400000,0.0,3
9600000,0.0,3
9700000,0.0,3
9900000,0.0,3
10100000,0.0,3
10200000,0.0,3
10600000,0.0,3
10700000,0.0,3
10800000,0.0,3
11000000,0.0,3
11300000,0.0,3
11400000,0.0,3
11600000,0.0,3
11700000,0.0,3
13100000,0.0,3
13300000,0.0,3
13400000,0.0,3
13500000,0.0,3
13800000,0.0,3
300000,0.0,2
400000,0.0,2
800000,0.0,2
900000,0.0,2
1300000,0.0,2
1900000,0.0,2
2000000,0.0,2
2100000,0.0,2
2200000,0.0,2
2400000,0.0,2
2600000,0.0,2
3300000,0.0,2
3400000,0.0,2
3600000,0.0,2
3800000,0.0,2
4000000,0.0,2
4300000,0.0,2
4400000,0.0,2
4500000,0.0,2
4600000,0.0,2
5300000,0.0,2
5400000,0.0,2
5500000,0.0,2
5700000,0.0,2
5900000,0.0,2
6200000,0.0,2
6300000,0.0,2
6400000,0.0,2
6600000,0.0,2
6800000,0.0,2
7000000,0.0,2
8200000,0.0,2
8300000,0.0,2
9000000,0.0,2
9300000,0.0,2
9400000,0.0,2
9500000,0.0,2
9600000,0.0,2
9700000,0.0,2
10600000,0.0,2
10800000,0.0,2
10900000,0.0,2
11700000,0.0,2
11900000,0.0,2
12600000,0.0,2
12700000,0.0,2
12800000,0.0,2
13000000,0.0,2
13300000,0.0,2
13500000,0.0,2
13600000,0.0,2
