step,reward,seed
100000,75.4,3
200000,77.5,3
300000,216.6,3
400000,158.4,3
500000,310.2,3
600000,372.5,3
700000,460.2,3
800000,587.6,3
900000,715.6,3
1000000,692.0,3
1100000,817.8,3
1200000,854.2,3
1300000,898.3,3
1400000,738.7,3
1500000,863.4,3
1600000,820.1,3
1700000,816.7,3
1800000,747.0,3
1900000,629.8,3
2000000,706.4,3
2100000,797.7,3
2200000,773.9,3
2300000,769.5,3
2400000,865.8,3
2500000,834.3,3
2800000,905.6,3
2900000,894.1,3
3000000,938.2,3
3100000,912.4,3
3200000,901.9,3
3300000,824.4,3
3400000,829.3,3
3500000,792.2,3
3600000,865.3,3
3700000,881.6,3
3800000,945.3,3
3900000,867.1,3
0,188.5,2
100000,151.9,2
200000,48.5,2
300000,193.2,2
400000,174.2,2
500000,185.6,2
600000,407.6,2
700000,588.3,2
800000,706.3,2
900000,701.2,2
1000000,827.6,2
1100000,741.7,2
1200000,481.7,2
1300000,690.9,2
1400000,654.6,2
1500000,725.7,2
1600000,860.4,2
1700000,871.5,2
1800000,760.5,2
1900000,841.7,2
2000000,590.3,2
2100000,841.0,2
2200000,860.6,2
2300000,737.9,2
2400000,895.9,2
2500000,882.2,2
2600000,799.9,2
2700000,866.1,2
2800000,881.5,2
2900000,863.4,2
3000000,838.0,2
3100000,877.1,2
3200000,796.4,2
3300000,918.5,2
3500000,881.8,2
3600000,922.7,2
3700000,920.2,2
3800000,922.3,2
3900000,782.8,2
0,41.8,1
100000,151.6,1
200000,82.4,1
300000,79.2,1
400000,142.4,1
500000,221.4,1
600000,382.4,1
800000,596.5,1
900000,536.6,1
1000000,783.9,1
1100000,737.4,1
1200000,658.2,1
1300000,791.4,1
1400000,624.2,1
1500000,680.2,1
1600000,839.3,1
1700000,866.2,1
1800000,835.0,1
1900000,741.0,1
2000000,850.9,1
2100000,838.6,1
2200000,877.3,1
2300000,905.6,1
2400000,792.9,1
2500000,792.5,1
2600000,858.0,1
2700000,893.8,1
2800000,896.1,1
2900000,910.1,1
3000000,890.2,1
3100000,891.4,1
3200000,852.5,1
3300000,927.5,1
3400000,908.0,1
3500000,916.5,1
3600000,846.2,1
3700000,921.2,1
3800000,827.7,1
3900000,729.6,1
