step,reward,seed
100000,37.0,3
200000,114.5,3
300000,131.4,3
500000,303.8,3
600000,456.3,3
700000,488.9,3
800000,663.7,3
900000,691.8,3
1000000,750.0,3
1100000,725.0,3
1200000,813.2,3
1300000,797.4,3
1400000,871.8,3
1500000,906.8,3
1600000,790.6,3
1700000,814.3,3
1800000,914.4,3
1900000,887.1,3
2000000,914.1,3
2100000,789.0,3
2200000,844.7,3
2300000,869.2,3
2400000,870.6,3
2500000,925.9,3
2600000,914.9,3
2700000,935.5,3
2800000,906.2,3
2900000,907.6,3
3000000,916.9,3
3200000,928.1,3
3300000,938.3,3
3400000,943.9,3
3500000,903.4,3
3600000,930.4,3
3700000,948.1,3
3800000,887.9,3
3900000,889.7,3
0,5.8,2
100000,77.2,2
200000,32.0,2
300000,89.1,2
400000,108.3,2
500000,128.3,2
600000,77.9,2
700000,572.5,2
800000,815.4,2
900000,655.1,2
1000000,784.3,2
1100000,829.7,2
1200000,814.5,2
1300000,837.0,2
1400000,857.1,2
1500000,877.7,2
1600000,848.4,2
1700000,912.3,2
1800000,894.4,2
1900000,885.2,2
2000000,915.5,2
2100000,803.0,2
2200000,752.9,2
2300000,780.6,2
2400000,926.5,2
2500000,904.0,2
2600000,832.1,2
2700000,915.9,2
2800000,923.3,2
2900000,930.5,2
3000000,888.6,2
3100000,852.4,2
3200000,954.8,2
3300000,914.8,2
3400000,917.6,2
3500000,944.9,2
3600000,936.4,2
3700000,930.6,2
3800000,901.6,2
0,21.3,1
100000,23.6,1
200000,27.6,1
300000,45.6,1
400000,261.9,1
500000,135.1,1
600000,137.3,1
700000,380.6,1
800000,333.9,1
900000,689.4,1
1000000,836.5,1
1100000,736.3,1
1200000,806.9,1
1300000,730.8,1
1400000,806.6,1
1500000,916.2,1
1600000,859.7,1
1700000,882.4,1
1800000,946.3,1
1900000,883.1,1
2000000,921.7,1
2100000,862.3,1
2200000,912.6,1
2300000,915.4,1
2400000,917.2,1
2500000,788.9,1
2600000,869.2,1
2700000,890.8,1
2800000,874.8,1
2900000,944.6,1
3000000,957.5,1
3100000,878.8,1
3200000,874.7,1
3300000,918.6,1
3400000,865.4,1
3500000,953.7,1
3600000,913.3,1
3700000,766.9,1
3800000,935.8,1
3900000,968.0,1
