step,reward,seed
100000,830.4,3
200000,873.8,3
300000,895.0,3
400000,856.3,3
600000,930.5,3
700000,914.5,3
800000,926.8,3
900000,945.3,3
1000000,863.3,3
1100000,927.4,3
1200000,961.0,3
1300000,967.8,3
1400000,967.0,3
1500000,962.4,3
1600000,941.3,3
1700000,937.6,3
1800000,959.1,3
1900000,955.4,3
2000000,964.7,3
2100000,944.4,3
2200000,962.2,3
2300000,955.1,3
2500000,937.8,3
2600000,952.7,3
2700000,928.4,3
2800000,961.5,3
2900000,919.6,3
3000000,961.1,3
3100000,950.3,3
3200000,964.3,3
3300000,962.4,3
3400000,957.0,3
3500000,947.4,3
3600000,965.4,3
3700000,940.7,3
3800000,913.4,3
3900000,960.7,3
100000,863.8,1
200000,852.5,1
300000,949.8,1
500000,940.6,1
600000,860.9,1
700000,940.5,1
800000,915.3,1
900000,948.4,1
1000000,941.2,1
1100000,939.4,1
1200000,933.6,1
1300000,923.2,1
1400000,951.5,1
1500000,954.8,1
1600000,935.2,1
1700000,947.2,1
1800000,940.0,1
1900000,945.2,1
2000000,955.2,1
2100000,961.9,1
2300000,941.2,1
2400000,943.9,1
2500000,941.4,1
2700000,941.9,1
2800000,969.8,1
2900000,912.1,1
3000000,935.2,1
3100000,954.2,1
3200000,954.2,1
3300000,949.9,1
3400000,956.0,1
3500000,960.6,1
3600000,949.9,1
3700000,964.5,1
3800000,962.3,1
3900000,961.0,1
0,250.0,2
100000,922.1,2
200000,807.1,2
300000,816.9,2
400000,880.9,2
500000,939.6,2
600000,915.2,2
700000,943.4,2
800000,931.0,2
900000,883.0,2
1000000,939.3,2
1100000,923.5,2
1200000,947.0,2
1300000,934.0,2
1400000,936.4,2
1500000,952.0,2
1600000,957.3,2
1700000,958.5,2
1800000,900.0,2
1900000,925.0,2
2000000,951.5,2
2100000,945.1,2
2200000,968.6,2
2300000,971.0,2
2400000,901.5,2
2500000,940.8,2
2600000,929.8,2
2700000,968.1,2
2900000,865.4,2
3000000,957.7,2
3100000,969.7,2
3200000,964.4,2
3300000,953.6,2
3400000,923.5,2
3500000,947.6,2
3600000,949.4,2
3700000,954.8,2
3800000,965.0,2
3900000,933.4,2
