step,reward,seed
0,0.0,3
100000,791.0,3
200000,858.6,3
300000,932.8,3
400000,923.9,3
500000,915.0,3
600000,934.6,3
700000,935.3,3
800000,932.6,3
900000,927.0,3
1000000,812.8,3
1100000,869.3,3
1200000,946.2,3
1300000,950.6,3
1400000,915.4,3
1600000,851.2,3
1700000,758.4,3
1800000,952.0,3
1900000,932.4,3
2000000,944.5,3
2100000,863.7,3
2200000,848.0,3
2300000,918.2,3
2500000,945.6,3
2600000,960.6,3
2700000,957.9,3
2800000,952.8,3
2900000,804.8,3
3000000,947.4,3
3100000,941.3,3
3200000,853.5,3
3300000,853.8,3
3400000,936.4,3
3500000,947.4,3
3600000,920.2,3
3700000,859.3,3
3800000,938.4,3
3900000,943.1,3
100000,867.3,2
200000,813.6,2
300000,910.4,2
400000,930.6,2
500000,922.7,2
600000,934.6,2
700000,965.9,2
800000,949.8,2
900000,851.8,2
1000000,951.5,2
1100000,957.6,2
1200000,934.9,2
1300000,752.3,2
1400000,941.3,2
1500000,949.2,2
1600000,959.0,2
1700000,962.0,2
1800000,940.3,2
1900000,938.5,2
2000000,812.0,2
2100000,943.6,2
2200000,950.5,2
2300000,901.9,2
2400000,944.4,2
2500000,938.2,2
2600000,967.6,2
2700000,953.0,2
2800000,906.6,2
2900000,962.2,2
3000000,959.6,2
3100000,953.3,2
3200000,954.3,2
3300000,794.0,2
3400000,927.4,2
3500000,941.4,2
3600000,945.9,2
3700000,958.6,2
3800000,955.1,2
3900000,908.8,2
0,0.0,1
100000,781.7,1
200000,927.6,1
300000,925.6,1
400000,899.0,1
500000,729.8,1
600000,952.2,1
700000,947.9,1
800000,939.3,1
900000,952.3,1
1000000,943.6,1
1100000,879.6,1
1200000,943.5,1
1300000,841.5,1
1400000,950.8,1
1500000,957.7,1
1600000,958.3,1
1700000,900.4,1
1800000,964.2,1
1900000,959.1,1
2000000,933.1,1
2100000,949.4,1
2200000,873.2,1
2300000,949.5,1
2400000,887.4,1
2500000,955.2,1
2600000,960.6,1
2700000,924.6,1
2800000,942.0,1
2900000,947.8,1
3000000,937.0,1
3100000,961.3,1
3200000,943.3,1
3300000,953.0,1
3400000,960.8,1
3500000,945.9,1
3600000,958.5,1
3700000,944.6,1
3800000,951.9,1
3900000,949.2,1
