step,reward,seed
0,251.0,3
100000,868.0,3
200000,917.9,3
300000,950.4,3
400000,943.7,3
500000,872.6,3
800000,926.0,3
900000,910.1,3
1000000,931.8,3
1100000,822.8,3
1200000,901.8,3
1300000,924.5,3
1400000,866.8,3
1500000,913.6,3
1600000,913.6,3
1700000,856.8,3
1800000,909.0,3
1900000,929.7,3
2000000,888.8,3
2100000,924.5,3
2200000,923.6,3
2300000,940.6,3
2400000,954.0,3
2500000,927.7,3
2600000,926.0,3
2800000,942.6,3
3000000,937.5,3
3100000,926.1,3
3200000,947.4,3
3300000,928.7,3
3400000,948.9,3
3500000,937.3,3
3600000,933.4,3
3700000,940.3,3
3800000,947.6,3
3900000,825.5,3
0,174.0,1
100000,772.7,1
200000,847.7,1
300000,880.3,1
400000,903.9,1
500000,933.0,1
600000,937.5,1
700000,866.6,1
800000,918.1,1
900000,923.2,1
1000000,870.3,1
1100000,904.1,1
1200000,938.6,1
1300000,941.7,1
1400000,875.1,1
1600000,941.1,1
1700000,850.6,1
1800000,913.9,1
1900000,928.4,1
2000000,888.9,1
2100000,920.0,1
2200000,926.7,1
2300000,941.4,1
2400000,953.5,1
2500000,945.2,1
2600000,933.1,1
2700000,942.8,1
2800000,923.7,1
2900000,928.3,1
3000000,938.6,1
3100000,952.0,1
3200000,938.1,1
3300000,874.4,1
3400000,914.7,1
3500000,893.4,1
3600000,845.4,1
3700000,903.6,1
3800000,930.8,1
3900000,938.4,1
0,186.0,2
100000,851.8,2
200000,934.0,2
300000,936.8,2
400000,810.8,2
500000,922.2,2
600000,929.1,2
700000,951.1,2
800000,929.8,2
900000,924.4,2
1000000,914.1,2
1100000,909.2,2
1200000,910.0,2
1300000,864.4,2
1400000,877.0,2
1500000,929.1,2
1600000,929.5,2
1800000,930.6,2
1900000,949.5,2
2000000,948.2,2
2100000,949.1,2
2200000,929.3,2
2300000,947.4,2
2400000,954.0,2
2500000,920.3,2
2600000,949.2,2
2700000,941.1,2
2800000,888.0,2
2900000,948.3,2
3000000,919.8,2
3100000,933.7,2
3200000,953.6,2
3300000,955.2,2
3400000,839.0,2
3500000,904.0,2
3600000,911.9,2
3700000,942.4,2
3800000,873.2,2
3900000,934.4,2
