step,reward,seed
0,37.5,2
200000,504.1,2
300000,447.3,2
400000,721.8,2
500000,580.2,2
600000,897.6,2
700000,683.7,2
800000,700.4,2
900000,483.6,2
1000000,677.6,2
1100000,694.3,2
1200000,748.2,2
1300000,575.9,2
1400000,637.0,2
1500000,472.4,2
1600000,519.9,2
1700000,837.6,2
1800000,731.5,2
1900000,716.1,2
2000000,731.2,2
2100000,601.2,2
2200000,743.8,2
2300000,672.7,2
2400000,698.3,2
2500000,848.1,2
2600000,758.6,2
2700000,754.8,2
2800000,589.2,2
2900000,832.5,2
3000000,826.4,2
3100000,652.8,2
3200000,855.7,2
3300000,844.5,2
3400000,849.8,2
3500000,846.5,2
3600000,922.5,2
3700000,697.2,2
3800000,807.4,2
3900000,643.0,2
0,4.5,3
100000,434.0,3
200000,689.2,3
300000,647.6,3
400000,530.3,3
500000,596.9,3
600000,693.1,3
700000,618.1,3
800000,698.3,3
900000,788.9,3
1000000,735.3,3
1100000,629.4,3
1200000,666.1,3
1300000,426.7,3
1400000,742.0,3
1500000,786.0,3
1600000,855.0,3
1700000,657.9,3
1800000,767.6,3
1900000,598.5,3
2000000,647.4,3
2100000,710.7,3
2200000,741.8,3
2300000,593.7,3
2400000,796.3,3
2500000,884.6,3
2600000,904.4,3
2700000,822.0,3
2800000,633.8,3
2900000,743.4,3
3100000,861.0,3
3200000,790.8,3
3300000,841.1,3
3400000,638.6,3
3500000,653.5,3
3600000,661.4,3
3700000,788.0,3
3800000,811.8,3
100000,166.8,1
200000,554.3,1
300000,743.7,1
400000,464.0,1
500000,541.6,1
600000,734.1,1
800000,892.1,1
900000,746.0,1
1000000,901.2,1
1100000,513.8,1
1200000,536.5,1
1300000,637.0,1
1400000,826.1,1
1500000,490.4,1
1600000,802.0,1
1800000,694.1,1
1900000,804.3,1
2000000,833.8,1
2100000,747.6,1
2200000,835.6,1
2300000,704.4,1
2400000,652.0,1
2500000,565.0,1
2600000,888.8,1
2700000,539.0,1
2800000,901.4,1
2900000,753.3,1
3000000,614.8,1
3100000,538.3,1
3200000,671.1,1
3300000,796.2,1
3400000,819.4,1
3500000,925.9,1
3600000,938.7,1
3700000,746.4,1
3800000,945.8,1
3900000,690.0,1
