step,reward,seed
0,41.1,1
100000,167.6,1
200000,215.2,1
300000,249.6,1
400000,304.5,1
500000,317.9,1
600000,330.0,1
700000,328.3,1
800000,258.0,1
900000,331.2,1
1000000,406.2,1
1100000,389.3,1
1200000,445.4,1
1300000,375.3,1
1400000,512.0,1
1500000,447.4,1
1600000,534.8,1
1700000,478.8,1
1800000,323.2,1
1900000,366.3,1
2000000,392.4,1
2100000,441.7,1
2200000,427.1,1
2300000,450.7,1
2400000,433.5,1
2500000,454.4,1
2600000,448.3,1
2700000,481.3,1
2800000,475.7,1
2900000,407.3,1
3000000,494.1,1
3100000,460.1,1
3200000,448.2,1
3300000,506.2,1
3400000,521.0,1
3600000,397.7,1
3700000,475.5,1
3800000,581.6,1
3900000,513.7,1
100000,182.5,3
200000,210.1,3
300000,295.3,3
400000,305.1,3
500000,340.1,3
600000,335.6,3
700000,429.4,3
800000,438.6,3
900000,358.7,3
1000000,359.2,3
1100000,399.7,3
1200000,419.3,3
1300000,423.2,3
1400000,463.9,3
1500000,387.7,3
1600000,432.2,3
1700000,364.6,3
1800000,511.9,3
1900000,417.9,3
2000000,458.1,3
2100000,439.5,3
2200000,455.2,3
2300000,464.4,3
2400000,366.3,3
2500000,460.9,3
2600000,506.7,3
2700000,438.2,3
2800000,479.4,3
2900000,471.1,3
3000000,475.1,3
3100000,531.1,3
3200000,565.9,3
3300000,589.4,3
3400000,338.7,3
3500000,489.6,3
3600000,531.2,3
3700000,549.8,3
3800000,501.2,3
3900000,521.7,3
100000,173.9,2
200000,172.8,2
300000,217.3,2
400000,235.3,2
500000,318.9,2
600000,308.2,2
700000,331.3,2
800000,378.2,2
900000,348.1,2
1000000,360.7,2
1100000,441.2,2
1200000,387.6,2
1300000,362.0,2
1400000,376.7,2
1500000,390.6,2
1600000,369.5,2
1700000,351.1,2
1800000,317.4,2
1900000,429.0,2
2000000,501.0,2
2100000,462.7,2
2200000,444.5,2
2300000,358.3,2
2400000,436.1,2
2500000,454.7,2
2600000,513.4,2
2700000,459.0,2
2800000,476.9,2
2900000,522.1,2
3000000,577.0,2
3200000,433.8,2
3300000,318.2,2
3400000,449.4,2
3500000,361.7,2
3600000,553.5,2
3700000,474.5,2
3800000,448.9,2
3900000,438.4,2
