step,reward,seed
100000,236.2,3
200000,389.8,3
300000,325.0,3
400000,457.1,3
500000,494.0,3
600000,383.7,3
700000,470.7,3
800000,613.1,3
900000,575.0,3
1000000,602.3,3
1100000,598.9,3
1200000,541.5,3
1300000,569.6,3
1400000,574.1,3
1500000,604.4,3
1600000,539.6,3
1700000,542.1,3
1800000,510.6,3
1900000,582.3,3
2000000,506.2,3
2100000,620.6,3
2200000,603.1,3
2300000,588.1,3
2400000,671.4,3
2500000,584.0,3
2600000,561.0,3
2700000,456.7,3
2900000,483.8,3
3000000,437.5,3
3100000,558.0,3
3200000,558.8,3
3400000,555.2,3
3500000,541.7,3
3600000,617.5,3
3700000,645.6,3
3800000,621.9,3
3900000,549.9,3
0,62.0,1
100000,232.0,1
200000,407.6,1
300000,505.8,1
400000,560.7,1
500000,510.3,1
600000,512.5,1
700000,330.4,1
800000,511.9,1
1000000,570.5,1
1100000,627.8,1
1300000,584.7,1
1400000,520.5,1
1500000,519.4,1
1600000,593.0,1
1700000,543.8,1
1800000,589.9,1
1900000,473.5,1
2000000,533.7,1
2100000,643.3,1
2200000,542.0,1
2300000,433.4,1
2400000,534.0,1
2500000,564.2,1
2600000,496.4,1
2700000,625.4,1
2800000,574.2,1
2900000,622.2,1
3000000,571.6,1
3100000,664.4,1
3200000,648.3,1
3300000,613.3,1
3400000,616.7,1
3500000,564.0,1
3600000,610.3,1
3700000,607.5,1
3800000,598.9,1
3900000,635.8,1
100000,266.7,2
200000,334.5,2
300000,354.0,2
400000,457.9,2
500000,538.7,2
600000,500.8,2
700000,540.1,2
800000,558.7,2
900000,495.5,2
1000000,571.0,2
1100000,562.4,2
1200000,422.7,2
1300000,535.7,2
1400000,501.4,2
1500000,544.3,2
1600000,448.6,2
1700000,567.9,2
1800000,575.4,2
1900000,609.3,2
2000000,543.6,2
2100000,543.1,2
2200000,565.7,2
2300000,526.0,2
2400000,509.6,2
2500000,535.8,2
2600000,627.6,2
2700000,626.9,2
2800000,526.0,2
2900000,433.0,2
3000000,549.0,2
3100000,569.8,2
3200000,583.8,2
3300000,615.6,2
3400000,413.8,2
3500000,567.4,2
3600000,620.3,2
3700000,561.5,2
3900000,524.5,2
