step,reward,seed
0,144.4,3
100000,925.6,3
200000,933.7,3
300000,777.9,3
400000,753.6,3
500000,938.6,3
600000,903.2,3
700000,940.4,3
800000,954.4,3
900000,899.9,3
1000000,971.8,3
1100000,968.9,3
1200000,933.3,3
1300000,966.0,3
1400000,927.0,3
1500000,944.5,3
1600000,931.1,3
1700000,963.2,3
1800000,952.1,3
1900000,973.8,3
2000000,960.2,3
2100000,974.6,3
2200000,967.1,3
2300000,967.5,3
2400000,958.8,3
2500000,947.8,3
2600000,933.0,3
2700000,936.1,3
2800000,965.3,3
2900000,924.8,3
3000000,971.1,3
3100000,958.4,3
3200000,928.9,3
3400000,958.2,3
3500000,912.3,3
3600000,932.5,3
3700000,918.4,3
3800000,949.7,3
3900000,971.3,3
0,164.8,1
100000,829.2,1
200000,940.4,1
300000,791.0,1
400000,894.7,1
500000,917.9,1
600000,947.0,1
700000,910.7,1
800000,929.9,1
900000,959.9,1
1000000,916.3,1
1100000,950.9,1
1200000,954.1,1
1300000,954.9,1
1400000,963.0,1
1500000,973.9,1
1600000,943.1,1
1700000,952.1,1
1800000,928.2,1
1900000,918.8,1
2000000,921.7,1
2100000,949.0,1
2200000,956.7,1
2300000,957.1,1
2400000,966.1,1
2500000,959.2,1
2600000,973.6,1
2700000,940.4,1
2800000,953.0,1
2900000,949.8,1
3000000,937.2,1
3100000,942.6,1
3200000,977.8,1
3400000,971.1,1
3500000,969.4,1
3600000,939.9,1
3700000,930.1,1
3800000,897.2,1
3900000,976.5,1
0,169.5,2
100000,898.9,2
200000,919.7,2
300000,877.6,2
400000,855.2,2
500000,736.3,2
600000,912.9,2
700000,898.1,2
800000,923.1,2
900000,870.3,2
1000000,902.8,2
1100000,942.8,2
1200000,945.4,2
1300000,967.4,2
1400000,946.4,2
1500000,961.6,2
1600000,928.4,2
1700000,946.5,2
1800000,903.4,2
1900000,969.3,2
2000000,967.8,2
2100000,971.3,2
2200000,943.9,2
2300000,946.0,2
2400000,968.6,2
2500000,922.8,2
2600000,960.4,2
2700000,966.5,2
2800000,968.2,2
2900000,925.9,2
3000000,924.5,2
3100000,952.2,2
3200000,946.7,2
3300000,974.5,2
3400000,962.7,2
3500000,946.9,2
3600000,936.0,2
3700000,962.4,2
3800000,944.9,2
3900000,931.9,2
