step,reward,seed
0,147.9,3
100000,582.2,3
200000,650.8,3
300000,792.9,3
400000,842.1,3
500000,744.2,3
600000,894.4,3
700000,782.7,3
800000,788.2,3
900000,852.8,3
1000000,768.4,3
1200000,815.0,3
1400000,785.7,3
1500000,826.9,3
1600000,808.2,3
1800000,880.7,3
1900000,903.1,3
2000000,916.8,3
2100000,792.4,3
2200000,886.5,3
2300000,910.7,3
2400000,865.1,3
2500000,820.2,3
2600000,887.2,3
2700000,818.1,3
2800000,894.1,3
2900000,861.1,3
3000000,898.9,3
3100000,925.3,3
3200000,904.8,3
3300000,913.6,3
3400000,922.6,3
3500000,930.9,3
3600000,915.3,3
3700000,938.3,3
3800000,916.2,3
3900000,897.4,3
0,32.3,1
100000,643.0,1
200000,833.2,1
400000,676.3,1
500000,803.1,1
600000,869.6,1
700000,846.6,1
800000,888.0,1
900000,775.4,1
1000000,891.5,1
1100000,771.8,1
1200000,862.7,1
1300000,831.3,1
1400000,911.5,1
1500000,890.8,1
1600000,814.0,1
1700000,872.2,1
1800000,821.9,1
1900000,904.4,1
2000000,863.5,1
2100000,931.5,1
2200000,894.8,1
2300000,937.6,1
2400000,908.4,1
2600000,889.4,1
2700000,924.5,1
2800000,906.0,1
2900000,900.5,1
3000000,866.2,1
3100000,845.4,1
3200000,930.5,1
3300000,923.5,1
3400000,873.8,1
3500000,852.1,1
3600000,924.7,1
3700000,739.1,1
3800000,902.0,1
3900000,907.1,1
0,48.1,2
100000,647.8,2
200000,703.5,2
300000,774.6,2
400000,703.5,2
500000,761.4,2
600000,844.4,2
700000,907.0,2
900000,718.1,2
1000000,660.4,2
1100000,863.3,2
1200000,813.3,2
1300000,917.7,2
1400000,873.7,2
1500000,892.6,2
1600000,846.3,2
1700000,811.5,2
1800000,838.9,2
1900000,881.2,2
2000000,858.1,2
2100000,874.2,2
2200000,879.4,2
2300000,818.4,2
2400000,878.2,2
2500000,814.1,2
2600000,911.3,2
2700000,858.3,2
2800000,888.3,2
2900000,857.6,2
3000000,886.9,2
3100000,893.4,2
3200000,817.0,2
3300000,894.2,2
3400000,836.7,2
3500000,883.1,2
3600000,911.5,2
3700000,927.9,2
3800000,909.2,2
3900000,894.4,2
