step,reward,seed
0,48.8,3
100000,569.4,3
300000,759.6,3
400000,849.9,3
500000,897.7,3
600000,855.7,3
800000,844.8,3
900000,858.0,3
1000000,764.2,3
1100000,927.1,3
1200000,831.7,3
1300000,803.2,3
1400000,903.6,3
1500000,909.0,3
1600000,882.2,3
1700000,886.1,3
1800000,919.0,3
1900000,895.4,3
2000000,934.5,3
2100000,934.1,3
2200000,925.5,3
2300000,936.8,3
2400000,944.1,3
2500000,887.1,3
2600000,743.7,3
2700000,898.3,3
2800000,924.3,3
2900000,877.0,3
3000000,782.1,3
3100000,914.3,3
3200000,940.3,3
3300000,912.9,3
3400000,925.5,3
3500000,776.3,3
3600000,896.3,3
3700000,902.7,3
3800000,893.7,3
3900000,912.3,3
100000,651.8,2
200000,749.4,2
300000,895.4,2
400000,864.5,2
500000,844.9,2
600000,803.2,2
700000,737.6,2
800000,796.0,2
900000,871.6,2
1000000,842.1,2
1100000,887.7,2
1200000,910.4,2
1300000,845.9,2
1400000,914.8,2
1500000,904.0,2
1600000,886.5,2
1700000,848.4,2
1800000,865.1,2
1900000,886.1,2
2000000,911.5,2
2100000,944.4,2
2200000,785.0,2
2300000,915.4,2
2400000,913.0,2
2500000,931.0,2
2600000,884.7,2
2700000,928.6,2
2800000,891.6,2
2900000,908.0,2
3100000,912.2,2
3200000,938.8,2
3300000,918.3,2
3400000,936.6,2
3500000,904.4,2
3600000,938.9,2
3700000,906.2,2
3800000,916.7,2
3900000,898.8,2
100000,669.2,1
200000,855.3,1
300000,828.0,1
400000,831.0,1
500000,892.5,1
600000,869.9,1
700000,876.0,1
800000,844.0,1
900000,862.3,1
1000000,855.4,1
1100000,923.1,1
1200000,908.5,1
1300000,932.7,1
1400000,919.3,1
1500000,799.7,1
1600000,945.6,1
1700000,911.2,1
1800000,880.3,1
1900000,903.1,1
2000000,934.7,1
2100000,937.6,1
2200000,904.0,1
2300000,809.9,1
2400000,880.8,1
2500000,890.2,1
2600000,887.6,1
2700000,865.9,1
2800000,892.9,1
2900000,908.7,1
3000000,933.7,1
3100000,922.1,1
3200000,919.2,1
3300000,900.8,1
3500000,926.9,1
3600000,923.9,1
3700000,950.2,1
3800000,799.3,1
3900000,900.6,1
