step,reward,seed
0,0.0,3
100000,985.6,3
200000,978.6,3
300000,980.3,3
400000,987.5,3
500000,982.7,3
600000,982.5,3
700000,977.8,3
800000,985.1,3
900000,983.7,3
1000000,984.8,3
1100000,987.0,3
1200000,987.4,3
1300000,986.2,3
1400000,984.7,3
1500000,987.5,3
1600000,981.9,3
1700000,987.0,3
1800000,983.2,3
1900000,986.8,3
2000000,988.2,3
2100000,988.3,3
2200000,985.7,3
2300000,985.6,3
2400000,985.3,3
2500000,988.1,3
2600000,988.0,3
2700000,989.8,3
2800000,983.4,3
2900000,983.7,3
3000000,990.1,3
3100000,981.7,3
3200000,985.9,3
3300000,988.5,3
3400000,988.3,3
3500000,988.7,3
3600000,983.8,3
3700000,986.5,3
3800000,986.8,3
3900000,987.9,3
4000000,991.0,3
0,0.0,2
100000,937.3,2
200000,980.7,2
300000,982.4,2
400000,987.0,2
500000,982.1,2
600000,983.1,2
700000,984.1,2
800000,985.1,2
900000,989.9,2
1000000,987.0,2
1100000,990.3,2
1200000,986.5,2
1300000,987.4,2
1400000,986.9,2
1500000,990.9,2
1600000,986.0,2
1700000,987.3,2
1800000,988.5,2
1900000,987.5,2
2000000,989.7,2
2100000,989.1,2
2200000,987.0,2
2300000,985.8,2
2400000,988.1,2
2500000,989.9,2
2600000,989.4,2
2700000,989.5,2
2800000,989.7,2
2900000,991.4,2
3000000,991.3,2
3100000,982.8,2
3200000,987.5,2
3300000,990.3,2
3400000,987.9,2
3500000,991.0,2
3600000,991.4,2
3700000,985.3,2
3800000,993.2,2
3900000,989.5,2
4000000,989.5,2
0,0.0,1
100000,919.6,1
200000,963.9,1
300000,979.2,1
400000,987.5,1
500000,989.1,1
600000,985.3,1
700000,985.9,1
800000,987.1,1
900000,990.3,1
1000000,985.4,1
1100000,987.5,1
1200000,889.4,1
1300000,988.7,1
1400000,989.3,1
1500000,989.0,1
1600000,989.1,1
1700000,989.5,1
1800000,986.4,1
1900000,989.5,1
2000000,989.2,1
2100000,904.6,1
2200000,988.5,1
2300000,987.3,1
2400000,986.2,1
2500000,987.8,1
2600000,990.4,1
2700000,989.6,1
2800000,992.7,1
2900000,989.1,1
3000000,989.7,1
3100000,989.6,1
3200000,989.5,1
3300000,988.9,1
3400000,989.3,1
3500000,989.7,1
3600000,989.0,1
3700000,990.8,1
3800000,987.7,1
3900000,984.5,1
4000000,991.1,1
