step,reward,seed
0,204.2,3
100000,485.7,3
200000,684.7,3
300000,883.2,3
400000,823.5,3
500000,802.0,3
600000,936.5,3
700000,883.6,3
800000,885.3,3
900000,888.5,3
1000000,982.1,3
1100000,984.1,3
1200000,976.8,3
1300000,982.3,3
1400000,978.5,3
1500000,984.9,3
1600000,978.1,3
1700000,981.6,3
1800000,990.8,3
1900000,983.6,3
2000000,980.7,3
2100000,986.6,3
2200000,978.9,3
2300000,979.0,3
2400000,984.7,3
2500000,989.3,3
2600000,980.6,3
2700000,989.8,3
2800000,980.7,3
2900000,986.1,3
3000000,979.8,3
3100000,988.5,3
3200000,986.1,3
3300000,975.6,3
3400000,982.3,3
3500000,986.8,3
3600000,987.9,3
3700000,988.8,3
3800000,892.9,3
3900000,982.9,3
4000000,983.4,3
0,213.4,2
100000,496.2,2
200000,743.6,2
300000,881.2,2
400000,985.9,2
500000,885.1,2
600000,874.6,2
700000,967.1,2
800000,958.3,2
900000,884.9,2
1000000,977.2,2
1100000,967.1,2
1200000,876.8,2
1300000,979.6,2
1400000,982.2,2
1500000,973.1,2
1600000,983.1,2
1700000,988.1,2
1800000,986.3,2
1900000,892.7,2
2000000,984.6,2
2100000,988.6,2
2200000,981.3,2
2300000,983.8,2
2400000,987.5,2
2500000,980.2,2
2600000,978.2,2
2700000,984.1,2
2800000,982.7,2
2900000,981.7,2
3000000,985.1,2
3100000,983.7,2
3200000,983.1,2
3300000,987.2,2
3400000,992.5,2
3500000,983.7,2
3600000,984.5,2
3700000,984.9,2
3800000,979.6,2
3900000,986.1,2
4000000,977.3,2
0,100.0,1
100000,482.0,1
200000,875.7,1
300000,937.6,1
400000,878.5,1
500000,876.9,1
600000,974.3,1
700000,878.9,1
800000,975.9,1
900000,977.1,1
1000000,796.2,1
1100000,840.3,1
1200000,978.2,1
1300000,869.6,1
1400000,985.5,1
1500000,978.6,1
1600000,977.0,1
1700000,984.4,1
1800000,795.2,1
1900000,984.3,1
2000000,977.1,1
2100000,887.9,1
2200000,977.8,1
2300000,989.3,1
2400000,979.1,1
2500000,984.7,1
2600000,986.4,1
2700000,979.1,1
2800000,979.5,1
2900000,983.9,1
3000000,881.8,1
3100000,937.7,1
3200000,898.9,1
3300000,981.1,1
3400000,978.7,1
3500000,976.3,1
3600000,980.7,1
3700000,885.5,1
3800000,961.8,1
3900000,991.0,1
4000000,986.7,1
