step,reward,seed
0,6.3,3
100000,6.1,3
200000,7.3,3
300000,39.4,3
400000,344.6,3
500000,357.2,3
600000,491.0,3
700000,483.6,3
800000,522.8,3
900000,564.9,3
1000000,628.3,3
1100000,699.3,3
1200000,730.6,3
1300000,700.1,3
1400000,777.6,3
1500000,785.0,3
1600000,788.7,3
1700000,862.8,3
1800000,874.1,3
1900000,895.2,3
2000000,892.6,3
2100000,910.1,3
2200000,910.9,3
2300000,898.7,3
2400000,914.0,3
2500000,919.6,3
2600000,918.9,3
2700000,915.6,3
2800000,921.8,3
2900000,927.4,3
3000000,902.0,3
3100000,925.7,3
3200000,932.0,3
3300000,929.7,3
3400000,908.9,3
3500000,903.6,3
3600000,910.5,3
3700000,919.3,3
3800000,903.9,3
3900000,909.3,3
4000000,910.5,3
4100000,903.3,3
4200000,895.9,3
4300000,896.4,3
4400000,917.9,3
4500000,902.1,3
4600000,902.4,3
4700000,921.4,3
4800000,901.1,3
4900000,821.7,3
5000000,896.5,3
5100000,896.3,3
5200000,907.2,3
5300000,885.3,3
5400000,875.5,3
5500000,898.7,3
5600000,871.2,3
5700000,861.5,3
5800000,897.4,3
5900000,910.6,3
6000000,905.4,3
6100000,874.9,3
6200000,898.6,3
6300000,894.9,3
6400000,868.3,3
6500000,853.2,3
6600000,846.6,3
6700000,820.3,3
6800000,821.7,3
6900000,815.7,3
7000000,810.9,3
7100000,831.9,3
7200000,880.3,3
7300000,851.9,3
7400000,892.4,3
7500000,907.5,3
7600000,900.7,3
7700000,891.5,3
7800000,844.5,3
7900000,893.0,3
8000000,877.1,3
8100000,879.1,3
8200000,880.3,3
8300000,902.6,3
8400000,889.1,3
8500000,912.4,3
8600000,904.1,3
8700000,900.3,3
8800000,882.0,3
8900000,893.7,3
9000000,905.0,3
9100000,909.7,3
9200000,890.7,3
9300000,887.4,3
9400000,910.1,3
9500000,923.4,3
9600000,917.3,3
9700000,906.2,3
9800000,920.3,3
9900000,901.6,3
10000000,904.4,3
10100000,914.0,3
10200000,894.3,3
10300000,914.2,3
10400000,909.3,3
10500000,898.8,3
10600000,857.9,3
10700000,835.8,3
10800000,862.8,3
10900000,818.2,3
11000000,785.3,3
11100000,796.7,3
11200000,795.4,3
11300000,820.2,3
11400000,805.2,3
11500000,804.4,3
11600000,892.7,3
11700000,841.3,3
11800000,754.7,3
11900000,842.3,3
12000000,830.6,3
12100000,803.2,3
12200000,833.2,3
12300000,820.4,3
12400000,870.6,3
12500000,850.4,3
12600000,856.3,3
12700000,870.8,3
12800000,836.0,3
12900000,863.8,3
13000000,847.0,3
13100000,885.2,3
13200000,881.4,3
13300000,912.4,3
13400000,905.1,3
13500000,892.6,3
13600000,889.1,3
13700000,888.1,3
13800000,888.4,3
13900000,885.4,3
14000000,891.5,3
0,4.5,2
100000,6.2,2
200000,6.5,2
300000,160.2,2
400000,423.9,2
500000,428.8,2
600000,417.8,2
700000,588.7,2
800000,644.2,2
900000,634.1,2
1000000,670.7,2
1100000,805.5,2
1200000,800.6,2
1300000,781.4,2
1400000,845.5,2
1500000,854.6,2
1600000,861.4,2
1700000,848.3,2
1800000,887.0,2
1900000,899.3,2
2000000,921.5,2
2100000,909.5,2
2200000,929.1,2
2300000,930.8,2
2400000,908.1,2
2500000,927.5,2
2600000,936.1,2
2700000,938.6,2
2800000,935.7,2
2900000,928.2,2
3000000,932.9,2
3100000,919.0,2
3200000,927.6,2
3300000,927.7,2
3400000,926.8,2
3500000,921.9,2
3600000,909.6,2
3700000,901.9,2
3800000,905.6,2
3900000,918.6,2
4000000,918.8,2
4100000,910.1,2
4200000,896.0,2
4300000,895.5,2
4400000,920.3,2
4500000,852.1,2
4600000,888.4,2
4700000,895.2,2
4800000,884.8,2
4900000,870.8,2
5000000,882.2,2
5100000,872.7,2
5200000,860.1,2
5300000,858.4,2
5400000,859.7,2
5500000,858.8,2
5600000,873.3,2
5700000,830.0,2
5800000,912.0,2
5900000,925.8,2
6000000,930.3,2
6100000,890.7,2
6200000,900.8,2
6300000,917.6,2
6400000,923.0,2
6500000,915.2,2
6600000,903.0,2
6700000,881.0,2
6800000,910.1,2
6900000,909.5,2
7000000,901.5,2
7100000,919.7,2
7200000,908.3,2
7300000,890.3,2
7400000,896.9,2
7500000,913.7,2
7600000,910.5,2
7700000,922.2,2
7800000,916.3,2
7900000,903.3,2
8000000,901.3,2
8100000,912.2,2
8200000,897.6,2
8300000,919.4,2
8400000,879.5,2
8500000,896.3,2
8600000,874.7,2
8700000,874.8,2
8800000,906.1,2
8900000,913.6,2
9000000,899.7,2
9100000,896.1,2
9200000,865.3,2
9300000,908.9,2
9400000,886.2,2
9500000,889.1,2
9600000,844.5,2
9700000,899.4,2
9800000,899.8,2
9900000,900.4,2
10000000,904.5,2
10100000,887.1,2
10200000,885.7,2
10300000,900.0,2
10400000,894.1,2
10500000,909.9,2
10600000,902.6,2
10700000,894.3,2
10800000,899.8,2
10900000,899.1,2
11000000,901.3,2
11100000,875.5,2
11200000,920.3,2
11300000,912.6,2
11400000,918.5,2
11500000,915.4,2
11600000,907.4,2
11700000,906.1,2
11800000,902.2,2
11900000,913.3,2
12000000,912.1,2
12100000,918.6,2
12200000,912.6,2
12300000,909.3,2
12400000,899.3,2
12500000,916.2,2
12600000,905.7,2
12700000,900.5,2
12800000,896.2,2
12900000,906.7,2
13000000,882.3,2
13100000,863.1,2
13200000,850.5,2
13300000,829.7,2
13400000,802.4,2
13500000,820.3,2
13600000,817.1,2
13700000,812.9,2
13800000,871.0,2
13900000,919.3,2
14000000,912.7,2
0,4.5,1
100000,5.3,1
200000,96.9,1
300000,281.8,1
400000,437.1,1
500000,480.7,1
600000,518.7,1
700000,554.6,1
800000,561.9,1
900000,518.7,1
1000000,692.2,1
1100000,719.7,1
1200000,779.4,1
1300000,765.5,1
1400000,873.5,1
1500000,877.2,1
1600000,871.0,1
1700000,892.9,1
1800000,899.3,1
