step,success,seed
0,0.0,1
50000,0.0,1
100000,0.1,1
150000,0.2,1
200000,0.0,1
250000,0.1,1
300000,0.3,1
350000,0.3,1
400000,0.3,1
450000,0.5,1
500000,0.3,1
550000,0.4,1
600000,0.4,1
650000,0.4,1
700000,0.8,1
750000,0.5,1
800000,0.5,1
850000,0.5,1
900000,0.8,1
950000,0.7,1
1000000,0.7,1
1050000,0.9,1
1100000,0.6,1
1150000,0.5,1
1200000,0.7,1
1250000,0.7,1
1300000,0.7,1
1350000,0.6,1
1400000,0.9,1
1450000,0.7,1
1500000,0.7,1
1550000,0.8,1
1600000,0.8,1
1650000,0.4,1
1700000,0.9,1
1750000,0.6,1
1800000,0.5,1
1850000,0.8,1
1900000,0.4,1
1950000,0.9,1
2000000,0.8,1
0,0.0,3
50000,0.0,3
100000,0.1,3
150000,0.0,3
200000,0.1,3
250000,0.2,3
300000,0.2,3
350000,0.0,3
400000,0.3,3
450000,0.2,3
500000,0.4,3
550000,0.2,3
600000,0.4,3
650000,0.5,3
700000,0.5,3
750000,0.4,3
800000,0.7,3
850000,0.8,3
900000,0.5,3
950000,0.6,3
1000000,0.4,3
1050000,0.8,3
1100000,0.5,3
1150000,0.7,3
1200000,0.7,3
1250000,0.7,3
1300000,0.7,3
1350000,0.7,3
1400000,0.9,3
1450000,0.8,3
1500000,0.6,3
1550000,0.6,3
1600000,0.9,3
1650000,0.7,3
1700000,0.9,3
1750000,0.8,3
1800000,0.9,3
1850000,0.6,3
1900000,1.0,3
1950000,0.8,3
0,0.0,2
50000,0.0,2
100000,0.1,2
150000,0.2,2
200000,0.4,2
250000,0.0,2
300000,0.1,2
350000,0.3,2
400000,0.6,2
450000,0.4,2
500000,0.3,2
550000,0.6,2
600000,0.5,2
650000,0.8,2
700000,0.5,2
750000,0.6,2
800000,0.5,2
850000,0.7,2
900000,0.6,2
950000,0.4,2
1000000,0.6,2
1050000,1.0,2
1100000,0.6,2
1150000,0.9,2
1200000,0.7,2
1250000,0.8,2
1300000,0.8,2
1350000,1.0,2
1400000,0.8,2
1450000,0.9,2
1500000,1.0,2
1550000,0.9,2
1600000,1.0,2
1650000,0.9,2
1700000,1.0,2
1750000,1.0,2
1800000,1.0,2
1850000,1.0,2
1900000,0.9,2
1950000,1.0,2
