step,reward,seed
0,183.8,3
100000,834.5,3
200000,873.1,3
300000,834.7,3
400000,823.1,3
500000,828.5,3
600000,848.2,3
700000,854.4,3
800000,825.5,3
900000,823.2,3
1000000,855.2,3
1100000,859.6,3
1200000,862.2,3
1300000,860.5,3
1400000,838.9,3
1500000,853.4,3
1600000,849.4,3
1700000,813.8,3
1800000,825.7,3
1900000,832.9,3
2000000,837.2,3
2100000,822.0,3
2200000,803.0,3
2300000,846.4,3
2400000,842.0,3
2500000,843.7,3
2600000,832.0,3
2700000,830.2,3
2800000,873.8,3
2900000,877.5,3
3000000,859.1,3
3100000,842.4,3
3200000,841.5,3
3300000,829.2,3
3400000,848.8,3
3500000,829.8,3
3600000,825.2,3
3700000,864.3,3
3800000,849.9,3
3900000,861.8,3
4000000,811.1,3
0,103.4,2
100000,869.3,2
200000,829.8,2
300000,835.5,2
400000,893.6,2
500000,837.5,2
600000,884.5,2
700000,852.2,2
800000,832.2,2
900000,847.7,2
1000000,850.4,2
1100000,850.1,2
1200000,845.0,2
1300000,829.3,2
1400000,839.1,2
1500000,861.4,2
1600000,857.8,2
1700000,865.7,2
1800000,830.1,2
1900000,823.0,2
2000000,851.6,2
2100000,853.9,2
2200000,863.0,2
2300000,821.6,2
2400000,828.4,2
2500000,844.1,2
2600000,880.4,2
2700000,844.9,2
2800000,838.0,2
2900000,851.7,2
3000000,838.5,2
3100000,843.5,2
3200000,886.3,2
3300000,866.4,2
3400000,860.9,2
3500000,876.8,2
3600000,865.2,2
3700000,860.6,2
3800000,841.3,2
3900000,860.4,2
4000000,867.9,2
0,73.6,1
100000,810.8,1
200000,826.8,1
300000,840.6,1
400000,806.2,1
500000,869.9,1
600000,842.6,1
700000,865.2,1
800000,867.9,1
900000,866.0,1
1000000,833.4,1
1100000,833.4,1
1200000,814.8,1
1300000,826.6,1
1400000,816.8,1
1500000,846.9,1
1600000,847.3,1
1700000,886.5,1
1800000,840.8,1
1900000,849.1,1
2000000,846.6,1
2100000,854.1,1
2200000,834.2,1
2300000,800.8,1
2400000,814.1,1
2500000,828.6,1
2600000,856.3,1
2700000,857.2,1
2800000,852.3,1
2900000,829.1,1
3000000,835.5,1
3100000,827.5,1
3200000,823.9,1
3300000,816.1,1
3400000,844.7,1
3500000,874.2,1
3600000,807.4,1
3700000,876.9,1
3800000,879.8,1
3900000,858.6,1
4000000,850.9,1
