step,reward,seed
0,1.4,3
100000,756.0,3
200000,876.9,3
300000,814.8,3
400000,801.8,3
500000,816.3,3
600000,853.2,3
700000,862.0,3
800000,803.2,3
900000,806.4,3
1000000,867.7,3
1100000,848.9,3
1200000,866.4,3
1300000,864.5,3
1400000,829.1,3
1500000,855.6,3
1600000,839.4,3
1700000,791.5,3
1800000,814.2,3
1900000,821.0,3
2000000,829.3,3
2100000,804.0,3
2200000,767.5,3
2300000,828.0,3
2400000,830.1,3
2500000,836.2,3
2600000,815.6,3
2700000,812.1,3
2800000,893.3,3
2900000,887.6,3
3000000,867.8,3
3100000,837.1,3
3200000,828.8,3
3300000,816.9,3
3400000,845.3,3
3500000,819.7,3
3600000,808.5,3
3700000,860.1,3
3800000,857.5,3
3900000,862.2,3
4000000,782.8,3
0,0.0,1
100000,563.7,1
200000,801.6,1
300000,830.2,1
400000,772.6,1
500000,884.6,1
600000,835.7,1
700000,866.1,1
800000,891.9,1
900000,877.9,1
1000000,815.6,1
1100000,827.0,1
1200000,786.5,1
1300000,803.8,1
1400000,792.3,1
1500000,837.8,1
1600000,846.2,1
1700000,904.9,1
1800000,836.5,1
1900000,843.7,1
2000000,839.5,1
2100000,853.5,1
2200000,827.7,1
2300000,771.1,1
2400000,784.2,1
2500000,805.8,1
2600000,862.6,1
2700000,855.7,1
2800000,851.5,1
2900000,818.5,1
3000000,819.8,1
3100000,804.5,1
3200000,800.5,1
3300000,789.5,1
3400000,826.4,1
3500000,882.3,1
3600000,780.6,1
3700000,898.8,1
3800000,891.4,1
3900000,866.4,1
4000000,848.3,1
0,0.0,2
100000,852.2,2
200000,795.0,2
300000,819.5,2
400000,827.4,2
500000,824.2,2
600000,905.7,2
700000,854.4,2
800000,817.7,2
900000,844.1,2
1000000,774.8,2
1100000,849.2,2
1200000,837.7,2
1300000,810.9,2
1400000,826.2,2
1500000,862.1,2
1600000,855.6,2
1700000,875.8,2
1800000,886.0,2
1900000,811.5,2
2000000,841.1,2
2100000,848.1,2
2200000,864.3,2
2300000,801.2,2
2400000,828.0,2
2500000,831.4,2
2600000,894.1,2
2700000,847.4,2
2800000,831.1,2
2900000,842.8,2
3000000,824.5,2
3100000,830.5,2
3200000,906.2,2
3300000,871.5,2
3400000,866.2,2
3500000,885.5,2
3600000,870.3,2
3700000,861.9,2
3800000,838.4,2
3900000,849.5,2
4000000,883.0,2
