step,reward,seed
0,278.5,2
100000,385.7,2
200000,801.8,2
300000,888.2,2
400000,925.2,2
500000,933.5,2
600000,928.9,2
700000,935.4,2
800000,943.7,2
900000,952.0,2
1000000,946.7,2
1100000,943.0,2
1200000,949.5,2
1300000,942.5,2
1400000,946.7,2
1500000,949.6,2
1600000,953.2,2
1700000,946.8,2
1800000,951.0,2
1900000,954.2,2
2000000,957.2,2
2100000,948.5,2
2200000,951.6,2
2300000,954.2,2
2400000,953.5,2
2500000,953.8,2
2600000,954.5,2
2700000,952.3,2
2800000,939.9,2
2900000,944.4,2
3000000,953.3,2
3100000,952.7,2
3200000,946.5,2
3300000,954.4,2
3400000,951.4,2
3500000,954.3,2
3600000,954.1,2
3700000,952.2,2
3800000,951.6,2
3900000,962.3,2
4000000,955.8,2
0,129.4,1
100000,121.4,1
200000,691.1,1
300000,874.7,1
400000,915.7,1
500000,936.4,1
600000,947.5,1
700000,938.9,1
800000,941.3,1
900000,927.8,1
1000000,940.6,1
1100000,945.0,1
1200000,941.2,1
1300000,954.5,1
1400000,946.1,1
1500000,956.9,1
1600000,923.9,1
1700000,952.9,1
1800000,957.1,1
1900000,957.4,1
2000000,940.9,1
2100000,954.6,1
2200000,947.0,1
2300000,956.1,1
2400000,962.5,1
2500000,953.8,1
2600000,949.2,1
2700000,950.2,1
2800000,955.4,1
2900000,957.6,1
3000000,957.3,1
3100000,960.9,1
3200000,963.9,1
3300000,951.2,1
3400000,960.2,1
3500000,954.8,1
3600000,955.1,1
3700000,956.1,1
3800000,955.3,1
3900000,960.8,1
4000000,951.5,1
0,202.7,3
100000,210.5,3
200000,784.2,3
300000,921.9,3
400000,948.7,3
500000,949.0,3
600000,942.5,3
700000,941.6,3
800000,941.5,3
900000,906.1,3
1000000,925.7,3
1100000,935.9,3
1200000,956.0,3
1300000,948.1,3
1400000,939.6,3
1500000,932.7,3
1600000,955.4,3
1700000,952.4,3
1800000,955.4,3
1900000,943.2,3
2000000,944.7,3
2100000,957.5,3
2200000,936.0,3
2300000,954.9,3
2400000,953.9,3
2500000,944.4,3
2600000,961.5,3
2700000,951.5,3
2800000,958.8,3
2900000,962.6,3
3000000,955.6,3
3100000,960.5,3
3200000,957.6,3
3300000,958.5,3
3400000,963.6,3
3500000,948.5,3
3600000,957.8,3
3700000,960.0,3
3800000,947.1,3
3900000,957.7,3
4000000,954.2,3
