step,reward,seed
0,283.2,2
100000,420.2,2
200000,950.8,2
300000,959.1,2
400000,961.7,2
500000,957.5,2
600000,955.0,2
700000,968.8,2
800000,965.0,2
900000,966.0,2
1000000,968.2,2
1100000,968.1,2
1200000,964.2,2
1300000,964.1,2
1400000,962.9,2
1500000,965.4,2
1600000,974.5,2
1700000,975.5,2
1800000,966.6,2
1900000,975.7,2
2000000,974.5,2
2100000,964.0,2
2200000,970.6,2
2300000,975.4,2
2400000,969.2,2
2500000,972.1,2
2600000,973.5,2
2700000,965.8,2
2800000,976.8,2
2900000,974.1,2
3000000,968.4,2
3100000,977.9,2
3200000,973.0,2
3300000,976.9,2
3400000,979.0,2
3500000,975.6,2
3600000,973.6,2
3700000,969.5,2
3800000,967.3,2
3900000,980.0,2
4000000,969.8,2
0,126.9,1
100000,213.6,1
200000,888.8,1
300000,953.5,1
400000,945.8,1
500000,949.1,1
600000,958.8,1
700000,955.9,1
800000,956.9,1
900000,961.3,1
1000000,965.3,1
1100000,962.7,1
1200000,971.4,1
1300000,969.5,1
1400000,967.2,1
1500000,977.8,1
1600000,968.9,1
1700000,967.4,1
1800000,974.9,1
1900000,965.9,1
2000000,969.5,1
2100000,973.8,1
2200000,973.3,1
2300000,972.5,1
2400000,982.0,1
2500000,969.7,1
2600000,964.6,1
2700000,956.7,1
2800000,972.3,1
2900000,971.9,1
3000000,967.9,1
3100000,975.3,1
3200000,977.8,1
3300000,970.2,1
3400000,976.3,1
3500000,977.4,1
3600000,970.1,1
3700000,957.4,1
3800000,973.9,1
3900000,964.1,1
4000000,972.1,1
0,201.4,3
100000,826.7,3
200000,904.4,3
300000,937.5,3
400000,970.0,3
500000,964.9,3
600000,929.7,3
700000,971.0,3
800000,965.7,3
900000,964.6,3
1000000,935.5,3
1100000,969.2,3
1200000,971.6,3
1300000,974.1,3
1400000,968.9,3
1500000,966.5,3
1600000,968.5,3
1700000,975.3,3
1800000,969.3,3
1900000,966.3,3
2000000,964.6,3
2100000,963.0,3
2200000,966.3,3
2300000,969.0,3
2400000,976.8,3
2500000,972.4,3
2600000,968.8,3
2700000,973.2,3
2800000,977.8,3
2900000,982.8,3
3000000,969.3,3
3100000,969.9,3
3200000,971.8,3
3300000,966.3,3
3400000,980.8,3
3500000,957.6,3
3600000,975.5,3
3700000,982.3,3
3800000,968.4,3
3900000,975.8,3
4000000,971.2,3
