step,reward,seed
0,91.4,2
100000,972.8,2
200000,985.5,2
300000,880.9,2
400000,888.6,2
500000,892.2,2
600000,986.6,2
700000,983.8,2
800000,985.2,2
900000,985.6,2
1000000,981.8,2
1100000,986.8,2
1200000,982.8,2
1300000,942.0,2
1400000,980.0,2
1500000,984.5,2
1600000,978.5,2
1700000,991.3,2
1800000,979.5,2
1900000,982.9,2
2000000,979.3,2
2100000,981.1,2
2200000,983.6,2
2300000,987.6,2
2400000,988.0,2
2500000,987.1,2
2600000,981.6,2
2700000,986.8,2
2800000,983.4,2
2900000,982.1,2
3000000,982.5,2
3100000,981.0,2
3200000,986.7,2
3300000,986.1,2
3400000,981.4,2
3500000,983.7,2
3600000,988.4,2
3700000,986.1,2
3800000,983.7,2
3900000,978.7,2
4000000,989.4,2
0,51.5,1
100000,977.9,1
200000,969.3,1
300000,973.0,1
400000,989.6,1
500000,985.4,1
600000,985.0,1
700000,985.0,1
800000,975.7,1
900000,987.3,1
1000000,978.4,1
1100000,967.2,1
1200000,988.1,1
1300000,983.7,1
1400000,987.8,1
1500000,983.0,1
1600000,984.0,1
1700000,986.1,1
1800000,990.3,1
1900000,948.6,1
2000000,984.6,1
2100000,986.5,1
2200000,981.7,1
2300000,984.0,1
2400000,987.0,1
2500000,979.5,1
2600000,991.1,1
2700000,983.6,1
2800000,990.8,1
2900000,982.5,1
3000000,985.1,1
3100000,987.5,1
3200000,986.0,1
3300000,986.0,1
3400000,981.8,1
3500000,985.5,1
3600000,985.2,1
3700000,983.1,1
3800000,984.2,1
3900000,985.5,1
4000000,986.8,1
0,140.8,3
100000,859.9,3
200000,973.9,3
300000,978.4,3
400000,987.9,3
500000,880.7,3
600000,980.9,3
700000,980.0,3
800000,984.0,3
900000,976.8,3
1000000,987.8,3
1100000,982.0,3
1200000,987.9,3
1300000,979.9,3
1400000,984.5,3
1500000,981.0,3
1600000,986.7,3
1700000,986.5,3
1800000,985.9,3
1900000,986.9,3
2000000,981.9,3
2100000,983.1,3
2200000,984.5,3
2300000,962.7,3
2400000,988.5,3
2500000,984.7,3
2600000,986.1,3
2700000,907.3,3
2800000,982.6,3
2900000,984.3,3
3000000,941.1,3
3100000,985.1,3
3200000,983.5,3
3300000,984.7,3
3400000,983.2,3
3500000,982.3,3
3600000,985.7,3
3700000,985.9,3
3800000,984.6,3
3900000,986.7,3
4000000,985.3,3
